tag_id,discovered_ip,mac_address,hostname,device_type,vendor,model,firmware_version,protocol,network_segment,first_seen,last_seen,discovery_method,confidence,open_ports,vulnerabilities,cve_ids,os_family,is_managed,last_patch_date,risk_score
TMC-OPS-0001,10.40.1.10,00:11:22:40:01:10,tmc-atms-01,ATMS Server,TransCore,ATMS-EDGE-9000,7.4.1,HTTPS,VLAN-410,2025-09-01T10:00:00Z,2026-05-18T10:00:00Z,Active Probe,96,"443,3389",2,CVE-2024-21410,Windows Server,true,2025-12-20,72
TMC-OPS-0003,10.40.1.12,00:11:22:40:01:12,tmc-historian-01,SCADA Historian,OSIsoft,PI-Server,2023.2,OPC UA,VLAN-410,2025-09-01T10:00:00Z,2026-05-18T10:05:00Z,Passive Monitoring,95,"443,5450",1,,Windows Server,true,2025-12-20,48
TMC-OPS-0004,10.40.10.22,00:11:22:40:10:22,tmc-nms-01,Network Management Server,SolarWinds,NPM,2024.1,HTTPS,VLAN-430,2025-09-01T10:00:00Z,2026-05-18T10:15:00Z,Active Probe,91,"443,17778",2,CVE-2024-28995,Windows Server,true,2025-11-29,76
TMC-OPS-0005,10.40.1.5,00:11:22:40:01:05,tmc-dc-01,Domain Controller,Microsoft,Windows Server,2022,LDAPS,VLAN-410,2025-09-01T10:00:00Z,2026-05-18T10:08:00Z,Active Probe,94,"389,636,3389",3,CVE-2024-49019;CVE-2024-43625,Windows Server,true,2025-11-10,81
TMC-OPS-0006,10.40.2.1,00:11:22:40:02:01,tmc-dmz-fw-outer,Firewall,Palo Alto,PA-3220,10.2.8,HTTPS,VLAN-420,2025-09-01T10:00:00Z,2026-05-18T10:10:00Z,SNMP,94,"443,22",1,CVE-2023-6792,PAN-OS,true,2025-12-18,61
TMC-OPS-0007,10.40.2.2,00:11:22:40:02:02,tmc-dmz-fw-inner,Firewall,Palo Alto,PA-3220,10.2.6,HTTPS,VLAN-420,2025-09-01T10:00:00Z,2026-05-18T10:11:00Z,SNMP,93,"443,22",2,CVE-2023-6792;CVE-2024-3400,PAN-OS,true,2025-09-30,79
TMC-OPS-0008,10.40.2.20,00:11:22:40:02:20,tmc-jump-01,Jump Host,Microsoft,Windows Server,2022,RDP,VLAN-420,2025-09-01T10:00:00Z,2026-05-18T10:12:00Z,Active Probe,92,"3389,443",3,CVE-2024-30078;CVE-2023-36884,Windows Server,false,2025-10-11,88
TMC-OPS-0009,10.40.2.5,00:11:22:40:02:05,tmc-vpn-01,Remote Access Concentrator,Cisco,ASA VPN,9.18.4,IPsec,VLAN-420,2025-09-01T10:00:00Z,2026-05-18T10:20:00Z,Active Probe,93,"443,500,4500",2,CVE-2024-20353,ASA,false,2025-08-14,91
TMC-OPS-0010,10.40.10.1,00:11:22:40:10:01,tmc-core-rtr-01,Core Router,Cisco,ASR-1001,17.9.4,SNMPv3,VLAN-430,2025-09-01T10:00:00Z,2026-05-18T10:12:00Z,SNMP,93,"22,161,443",0,,IOS-XE,true,2025-11-21,44
TMC-OPS-0011,10.40.10.2,00:11:22:40:10:02,tmc-core-rtr-02,Core Router,Cisco,ASR-1001,17.9.4,SNMPv3,VLAN-430,2025-09-01T10:00:00Z,2026-05-18T10:12:00Z,SNMP,93,"22,161,443",0,,IOS-XE,true,2025-11-21,44
TMC-OPS-0012,10.40.10.10,00:11:22:40:10:10,tmc-dist-sw-01,Distribution Switch,Cisco,Catalyst-9300,17.6.5,SNMPv3,VLAN-430,2025-09-01T10:00:00Z,2026-05-18T10:13:00Z,SNMP,94,"22,161",1,CVE-2023-20198,IOS-XE,true,2025-12-18,68
I96-SIG-0013,10.96.14.10,00:11:22:96:14:10,i96-sig-014,Traffic Signal Controller,Econolite,Cobalt,3.2.7,NTCIP,VLAN-514,2025-08-14T09:00:00Z,2026-05-17T13:14:00Z,Protocol Analysis,90,"161,443",1,,Embedded,true,2025-09-20,53
I96-SIG-0015,10.96.17.10,00:11:22:96:17:10,i96-sig-017,Traffic Signal Controller,Siemens,M60,4.0.1,NTCIP,VLAN-517,2025-08-14T09:00:00Z,2026-05-17T13:15:00Z,Protocol Analysis,89,"161,443",1,,Embedded,true,2025-09-20,49
I96-CAB-0016,10.96.14.2,00:11:22:96:14:02,i96-cab-sw-014,Field Ethernet Switch,Cisco,IE-3300,17.6.5,SNMPv3,VLAN-514,2025-08-14T09:00:00Z,2026-05-17T13:15:00Z,SNMP,94,"22,161,443",1,CVE-2023-20198,IOS-XE,false,2025-08-12,84
I96-CAB-0018,10.96.17.2,00:11:22:96:17:02,i96-cab-sw-017,Field Ethernet Switch,Cisco,IE-3300,17.4.2,SNMPv3,VLAN-517,2025-08-14T09:00:00Z,2026-05-17T13:16:00Z,SNMP,92,"22,161,443",2,CVE-2023-20198;CVE-2024-20399,IOS-XE,false,2025-06-15,87
I96-CAB-0019,10.96.14.3,00:11:22:96:14:03,i96-lte-014,Cellular Router,Cradlepoint,IBR1700,7.23.40,HTTPS,VLAN-514,2025-08-14T09:00:00Z,2026-05-17T13:17:00Z,Active Probe,89,"22,443",2,CVE-2023-43208,Embedded,false,2025-08-04,82
I96-CAB-0020,10.96.16.3,00:11:22:96:16:03,i96-lte-016,Cellular Router,Cradlepoint,IBR900,7.21.18,HTTPS,VLAN-516,2025-08-14T09:00:00Z,2026-05-17T13:17:00Z,Active Probe,88,"22,443",2,CVE-2023-43208,Embedded,false,2025-08-04,80
