work_order,asset_id,equipment_tag,description,priority,status,created_date,due_date,completed_date,technician,plant_unit,system,maintenance_type,cost_estimate,parts_required,downtime_hours,failure_mode
WO-2025-000001,OT2371,CDU-389Z,Pump impeller inspection,Critical,Completed,2025-09-03,2025-10-04,2025-09-22,Tech_4,CDU,Static_Equipment,Inspection,30628,No,7,Electrical_Fault
WO-2025-000002,OT0625,TANK_FARM-101P,Heat exchanger cleaning,High,Cancelled,2025-09-19,2025-11-16,,Tech_2,TANK_FARM,Rotating_Equipment,Inspection,25401,No,15,Overheating
WO-2025-000003,OT1437,HDS-113Z,Heat exchanger cleaning,Low,In_Progress,2025-08-26,2025-10-07,,Tech_22,HDS,Static_Equipment,Corrective,8917,No,18,Overheating
WO-2025-000004,OT1484,CDU-594R,Heat exchanger cleaning,High,On_Hold,2025-08-31,2025-10-31,,Tech_31,CDU,Piping,Preventive,11927,No,39,Calibration_Drift
WO-2025-000005,OT0878,CDU-114K,Heat exchanger cleaning,Critical,On_Hold,2025-09-10,2025-10-19,,Tech_48,CDU,Instrumentation,Preventive,46338,No,9,Corrosion
WO-2025-000006,OT2223,CCR-885T,Electrical panel inspection,Low,Completed,2025-09-04,2025-11-18,2025-09-20,Tech_21,CCR,Static_Equipment,Preventive,16616,No,40,Vibration
WO-2025-000007,OT0515,HDS-645Z,Control valve maintenance,High,In_Progress,2025-09-12,2025-10-08,,Tech_41,HDS,Piping,Shutdown,1172,No,8,Corrosion
WO-2025-000008,OT1409,UTILITIES-118E,Compressor overhaul,Critical,In_Progress,2025-08-25,2025-09-24,,Tech_48,UTILITIES,Piping,Emergency,9702,Yes,35,Calibration_Drift
WO-2025-000009,OT0943,CDU-777D,Replace mechanical seal,Medium,Completed,2025-09-19,2025-09-25,2025-09-22,Tech_2,CDU,Civil_Structural,Corrective,35429,No,9,Vibration
WO-2025-000010,OT1291,FCC-872H,Safety valve testing,Critical,In_Progress,2025-09-08,2025-11-18,,Tech_17,FCC,Electrical,Preventive,39743,No,33,Overheating
WO-2025-000011,OT1614,HDS-520S,Replace mechanical seal,Medium,Cancelled,2025-09-21,2025-11-20,,Tech_8,HDS,Electrical,Preventive,10667,No,6,Overheating
WO-2025-000012,OT0072,UTILITIES-399P,Replace mechanical seal,Medium,Open,2025-09-21,2025-10-31,,Tech_2,UTILITIES,Civil_Structural,Corrective,34378,Yes,46,Vibration
WO-2025-000013,OT2260,TANK_FARM-889D,Piping integrity check,Critical,In_Progress,2025-08-26,2025-09-25,,Tech_46,TANK_FARM,Rotating_Equipment,Corrective,26086,Yes,13,Calibration_Drift
WO-2025-000014,OT1823,UTILITIES-633L,Safety valve testing,Medium,Completed,2025-09-20,2025-11-11,2025-09-21,Tech_32,UTILITIES,Civil_Structural,Preventive,2259,No,22,Calibration_Drift
WO-2025-000015,OT0465,TANK_FARM-660L,Compressor overhaul,Critical,Completed,2025-09-22,2025-11-02,2025-09-18,Tech_21,TANK_FARM,Electrical,Inspection,12751,Yes,15,Corrosion
WO-2025-000016,OT2392,FCC-1057Q,Motor bearing replacement,Low,In_Progress,2025-09-05,2025-10-11,,Tech_8,FCC,Safety_Systems,Corrective,29713,Yes,31,Vibration
