tag_id,plant,plant_code,unit,unit_code,area,device_type,security_tier,criticality,manufacturer,model,serial_number,description,location,installation_date,expected_ip,expected_protocol,vlan,safety_system,last_maintenance,warranty_expires
BTR-CDU-0001,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,RTU,1,Critical,HIMA,HIM-RTU-1240,SN-mk501vmd-GERLOS,RTU for Crude Distillation Unit operations,"Crude Distillation Unit, Station 1",2016-03-12,10.10.10.1,Ethernet/IP,100,SIS-CDU,2025-05-13,2026-12-06
BTR-CDU-0002,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,Safety PLC,1,Critical,Triconex,TRI-SafetyPLC-6230,SN-mk501vme-DA493S,Safety PLC for Crude Distillation Unit operations,"Crude Distillation Unit, Station 2",2025-12-05,10.10.10.2,Modbus TCP,100,SIS-CDU,2025-07-01,2026-04-16
BTR-CDU-0003,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,Relief Valve,3,Critical,ABB,ABB-ReliefValve-2558,SN-mk501vme-N5SXJP,Relief Valve for Crude Distillation Unit operations,"Crude Distillation Unit, Station 3",2025-04-30,,,100,SIS-CDU,2025-02-10,2026-09-15
BTR-CDU-0004,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,Control Valve,2,Critical,Siemens,SIE-ControlValve-6973,SN-mk501vme-C98K33,Control Valve for Crude Distillation Unit operations,"Crude Distillation Unit, Station 4",2023-11-07,10.10.10.4,Modbus,100,SIS-CDU,2025-10-18,2028-05-02
BTR-CDU-0005,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,Flame Detector,2,Critical,Triconex,TRI-FlameDetector-3886,SN-mk501vme-50JRF8,Flame Detector for Crude Distillation Unit operations,"Crude Distillation Unit, Station 5",2019-03-06,10.10.10.5,Modbus,100,SIS-CDU,2025-09-30,2027-01-07
BTR-CDU-0006,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,Relief Valve,3,Critical,Yokogawa,YOK-ReliefValve-5451,SN-mk501vme-QSFRAN,Relief Valve for Crude Distillation Unit operations,"Crude Distillation Unit, Station 6",2019-02-25,,,100,SIS-CDU,2025-09-24,2028-09-30
BTR-CDU-0007,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,Control Valve,2,Critical,Honeywell,HON-ControlValve-4535,SN-mk501vme-2N6I09,Control Valve for Crude Distillation Unit operations,"Crude Distillation Unit, Station 7",2022-05-06,10.10.10.7,Modbus,100,SIS-CDU,2025-09-15,2026-05-22
BTR-CDU-0008,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,HMI Station,1,Critical,Yokogawa,YOK-HMIStation-6245,SN-mk501vme-YX1YGB,HMI Station for Crude Distillation Unit operations,"Crude Distillation Unit, Station 8",2016-06-24,10.10.10.8,Modbus TCP,100,SIS-CDU,2025-10-21,2027-02-22
BTR-CDU-0009,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,Pressure Transmitter,2,Critical,Rockwell,ROC-PressureTransmitter-2075,SN-mk501vme-L8ARMK,Pressure Transmitter for Crude Distillation Unit operations,"Crude Distillation Unit, Station 9",2018-01-28,10.10.10.9,HART,100,SIS-CDU,2025-08-19,2026-03-12
BTR-CDU-0010,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,Control Valve,2,Critical,Triconex,TRI-ControlValve-5603,SN-mk501vme-EQLWT7,Control Valve for Crude Distillation Unit operations,"Crude Distillation Unit, Station 10",2016-11-19,10.10.10.10,Foundation Fieldbus,100,SIS-CDU,2025-06-20,2028-11-25
BTR-CDU-0011,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,Manual Valve,3,Critical,Emerson,EME-ManualValve-1039,SN-mk501vme-IR16N9,Manual Valve for Crude Distillation Unit operations,"Crude Distillation Unit, Station 11",2021-02-15,,,100,SIS-CDU,2025-12-27,2026-02-21
BTR-CDU-0012,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,VFD,2,Critical,Emerson,EME-VFD-8522,SN-mk501vme-LSC4KH,VFD for Crude Distillation Unit operations,"Crude Distillation Unit, Station 12",2021-01-23,10.10.10.12,HART,100,SIS-CDU,2025-05-04,2027-08-04
BTR-CDU-0013,Baytown Refinery,BTR,Crude Distillation Unit,CDU,Crude Distillation Unit - Zone 1,PLC,1,Critical,Emerson,EME-PLC-9607,SN-mk501vme-MZ36O7,PLC for Crude Distillation Unit operations,"Crude Distillation Unit, Station 13",2019-11-16,10.10.10.13,OPC UA,100,SIS-CDU,2025-10-31,2026-08-22
