tag_id,plant,unit,device_type,criticality,manufacturer,model,location,description,installation_date,expected_ip,expected_protocol
"API-0001","Boston Pharma","API Manufacturing","Serialization System","Low","ABB","SerializationSystem-7506","API Manufacturing - Station 1","Serialization System for API Manufacturing operations","2022-07-31","192.168.244.109","Ethernet/IP"
"API-0002","Boston Pharma","API Manufacturing","Serialization System","High","Siemens","SerializationSystem-2131","API Manufacturing - Station 2","Serialization System for API Manufacturing operations","2021-03-26","192.168.49.29","Modbus TCP"
"API-0003","Boston Pharma","API Manufacturing","Temperature Controller","Critical","Schneider","TemperatureController-1984","API Manufacturing - Station 3","Temperature Controller for API Manufacturing operations","2021-05-07","192.168.173.159","DNP3"
"API-0004","Boston Pharma","API Manufacturing","Batch Controller","Low","Emerson","BatchController-6176","API Manufacturing - Station 4","Batch Controller for API Manufacturing operations","2024-04-28","192.168.119.100","Ethernet/IP"
"API-0005","Boston Pharma","API Manufacturing","MES","Medium","Siemens","MES-8919","API Manufacturing - Station 5","MES for API Manufacturing operations","2024-10-15","192.168.34.88","Ethernet/IP"
"API-0006","Boston Pharma","API Manufacturing","Batch Controller","Low","Siemens","BatchController-9596","API Manufacturing - Station 6","Batch Controller for API Manufacturing operations","2023-11-01","192.168.212.159","Ethernet/IP"
"API-0007","Boston Pharma","API Manufacturing","HMI","Critical","Honeywell","HMI-7841","API Manufacturing - Station 7","HMI for API Manufacturing operations","2021-02-19","192.168.205.201","Ethernet/IP"
"API-0008","Boston Pharma","API Manufacturing","MES","Medium","Honeywell","MES-2424","API Manufacturing - Station 8","MES for API Manufacturing operations","2024-02-23","192.168.61.146","Profinet"
"API-0009","Boston Pharma","API Manufacturing","MES","Low","Schneider","MES-1451","API Manufacturing - Station 9","MES for API Manufacturing operations","2022-07-24","192.168.237.140","Modbus TCP"
"API-0010","Boston Pharma","API Manufacturing","Safety PLC","Low","Schneider","SafetyPLC-5864","API Manufacturing - Station 10","Safety PLC for API Manufacturing operations","2023-02-05","192.168.124.158","Ethernet/IP"
"API-0011","Boston Pharma","API Manufacturing","MES","Medium","Siemens","MES-2281","API Manufacturing - Station 11","MES for API Manufacturing operations","2024-03-03","192.168.211.160","DNP3"
"API-0012","Boston Pharma","API Manufacturing","Temperature Controller","Medium","Honeywell","TemperatureController-6942","API Manufacturing - Station 12","Temperature Controller for API Manufacturing operations","2021-03-08","192.168.49.25","Modbus TCP"
"API-0013","Boston Pharma","API Manufacturing","HMI","Critical","Siemens","HMI-8127","API Manufacturing - Station 13","HMI for API Manufacturing operations","2023-03-05","192.168.159.134","Profinet"
"API-0014","Boston Pharma","API Manufacturing","Batch Controller","Low","Schneider","BatchController-9354","API Manufacturing - Station 14","Batch Controller for API Manufacturing operations","2023-08-22","192.168.167.84","Ethernet/IP"
"API-0015","Boston Pharma","API Manufacturing","PLC","High","Emerson","PLC-2917","API Manufacturing - Station 15","PLC for API Manufacturing operations","2024-09-23","192.168.206.38","DNP3"
"API-0016","Boston Pharma","API Manufacturing","Safety PLC","Low","Siemens","SafetyPLC-2802","API Manufacturing - Station 16","Safety PLC for API Manufacturing operations","2023-04-16","192.168.248.208","Profinet"
"API-0017","Boston Pharma","API Manufacturing","Serialization System","Low","Honeywell","SerializationSystem-5216","API Manufacturing - Station 17","Serialization System for API Manufacturing operations","2021-12-19","192.168.84.123","Modbus TCP"
"API-0018","Boston Pharma","API Manufacturing","PLC","Low","Rockwell","PLC-1341","API Manufacturing - Station 18","PLC for API Manufacturing operations","2023-10-24","192.168.13.110","Ethernet/IP"
"API-0019","Boston Pharma","API Manufacturing","Environmental Monitor","Medium","Emerson","EnvironmentalMonitor-8969","API Manufacturing - Station 19","Environmental Monitor for API Manufacturing operations","2025-05-09","192.168.187.214","Modbus TCP"
"API-0020","Boston Pharma","API Manufacturing","SCADA","Critical","Siemens","SCADA-5463","API Manufacturing - Station 20","SCADA for API Manufacturing operations","2023-10-16","192.168.212.221","OPC UA"
"API-0021","Boston Pharma","API Manufacturing","Serialization System","High","Emerson","SerializationSystem-2185","API Manufacturing - Station 21","Serialization System for API Manufacturing operations","2021-03-21","192.168.67.109","DNP3"
"API-0022","Boston Pharma","API Manufacturing","Batch Controller","High","Rockwell","BatchController-6950","API Manufacturing - Station 22","Batch Controller for API Manufacturing operations","2024-02-08","192.168.120.20","DNP3"
"API-0023","Boston Pharma","API Manufacturing","Serialization System","Critical","Siemens","SerializationSystem-6472","API Manufacturing - Station 23","Serialization System for API Manufacturing operations","2023-10-22","192.168.164.75","Ethernet/IP"
