asset_id,normal_operating_range,alarm_thresholds,performance_indicators,maintenance_strategy,run_time_hours,last_major_service,next_service_due,operating_efficiency,degradation_rate
A0001,"Flow: 1222 GPM, Pressure: 257 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,47240,2024-12-28,2025-10-20,87.7,Accelerated
A0002,"Flow: 842 GPM, Pressure: 145 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,37715,2024-11-27,2025-10-01,93.7,Moderate
A0003,"Flow: 1092 GPM, Pressure: 205 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,25129,2025-04-09,2025-11-28,92.8,Moderate
A0004,"Flow: 687 GPM, Pressure: 206 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,22085,2025-07-13,2025-11-28,91.4,Normal
A0005,"Flow: 1434 GPM, Pressure: 269 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,57513,2025-01-17,2025-10-11,90.1,Accelerated
A0006,"Flow: 905 GPM, Pressure: 215 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,20318,2024-09-24,2026-02-27,88.4,Normal
A0007,"Flow: 1023 GPM, Pressure: 244 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,44856,2025-07-27,2025-10-20,87.9,Accelerated
A0008,"Flow: 650 GPM, Pressure: 271 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,34645,2024-11-22,2026-01-02,90.5,Moderate
A0009,"Flow: 1227 GPM, Pressure: 261 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,59957,2024-10-27,2025-10-30,90.3,Accelerated
A0010,"Flow: 880 GPM, Pressure: 150 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,31537,2024-10-03,2026-03-08,91.5,Moderate
