tag_id,discovered_ip,mac_address,hostname,device_type,vendor,model,firmware_version,protocol,network_segment,first_seen,last_seen,discovery_method,confidence,open_ports,vulnerabilities,cve_ids,os_family,is_managed,last_patch_date,risk_score
API-RSA-0001,172.16.10.1,e1:db:a2:3a:1b:3d,,Particle Counter,Unknown,,3.7.33,Modbus,VLAN-100,2025-12-18T17:57:57.303Z,2026-01-04T03:32:37.146Z,SNMP,86,80,0,CVE-2020-8966;CVE-2021-34993,,false,2025-06-28,81
API-RSA-0004,172.16.10.4,5f:5e:d7:54:2f:78,API-RSA-batch-controller,Batch Controller,ABB,ABB-BatchController-3632,5.4.47,IEC 61850,VLAN-100,2025-11-28T13:11:26.309Z,2026-01-03T01:25:40.121Z,SNMP,74,"502,102,44818,2222,20000",0,,Linux RT,true,2025-12-19,82
API-RSA-0005,172.16.10.5,a0:e2:66:12:53:ef,API-RSA-label-printer,Label Printer,Bürkert,BÜR-LabelPrinter-7963,1.1.71,Modbus,VLAN-100,2025-11-14T23:20:19.432Z,2026-01-02T03:41:04.705Z,Protocol Analysis,76,"80,443,22,161",3,CVE-2023-5430;CVE-2021-38860,,true,2025-02-15,71
API-RSA-0006,172.16.10.6,8e:5e:b3:6e:a0:01,API-RSA-conductivity-sensor,Conductivity Sensor,Mettler Toledo,MET-ConductivitySensor-1904,2.2.3,HART,VLAN-100,2025-07-19T23:44:50.896Z,2026-01-05T19:30:17.897Z,Passive Monitoring,82,"80,443,22,161,502",5,CVE-2024-1674,,false,2025-03-28,80
API-RSA-0007,172.16.10.7,6c:bd:0f:07:77:48,,Serialization Camera,Unknown,,1.6.38,Foundation Fieldbus,VLAN-100,2025-08-18T22:02:27.664Z,2026-01-02T00:27:16.332Z,Network Scan,93,"80,443,22",0,CVE-2024-25111;CVE-2021-40667,,false,2025-02-05,72
API-RSA-0008,172.16.10.8,11:21:fb:44:9d:98,API-RSA-environmental-monitor,Environmental Monitor,Sartorius,SAR-EnvironmentalMonitor-7389,2.3.68,Profibus,VLAN-100,2025-12-19T05:30:50.110Z,2026-01-08T04:47:07.489Z,Passive Monitoring,78,"80,443,22,161",6,CVE-2020-18185,,false,2025-08-25,70
API-RSA-0009,172.16.10.9,fc:0e:19:23:fa:d6,API-RSA-ph-sensor,pH Sensor,Endress+Hauser,END-pHSensor-6644,4.8.12,HART,VLAN-100,2025-09-01T14:20:00.567Z,2026-01-05T09:56:17.993Z,Passive Monitoring,85,"80,443,22,161,502",4,,,true,2025-05-05,73
API-RSA-0011,172.16.10.11,b3:90:e0:cb:06:0f,API-RSA-environmental-monitor,Environmental Monitor,Rockwell,ROC-EnvironmentalMonitor-8179,3.1.2,Profibus,VLAN-100,2025-10-06T15:16:33.995Z,2026-01-07T12:27:41.173Z,Protocol Analysis,74,80,3,CVE-2020-20127;CVE-2023-48354,,true,2025-04-23,71
API-RSA-0012,172.16.10.12,e5:9f:fc:a4:14:86,API-RSA-batch-controller,Batch Controller,ABB,ABB-BatchController-7553,1.3.45,DNP3,VLAN-100,2025-12-10T18:16:55.613Z,2026-01-07T04:34:31.889Z,Active Probe,78,"502,102,44818,2222,20000",2,CVE-2022-38347;CVE-2023-42965,Linux RT,true,2025-04-25,91
API-RSA-0013,172.16.10.13,af:b2:f6:e3:32:2a,API-RSA-plc,PLC,Bürkert,BÜR-PLC-4705,1.0.24,IEC 61850,VLAN-100,2025-10-19T05:58:58.560Z,2026-01-02T17:50:12.212Z,Network Scan,92,"502,102",0,,Linux RT,false,2025-10-12,81
API-RSA-0014,172.16.10.14,d2:11:a1:bf:b5:40,API-RSA-hmi,HMI,Rockwell,ROC-HMI-6252,1.6.2,Ethernet/IP,VLAN-100,2025-12-31T04:52:43.783Z,2026-01-03T10:43:26.565Z,Protocol Analysis,92,"502,102,44818,2222",1,,Windows Embedded,true,2025-03-09,83
API-RSA-0015,172.16.10.15,72:14:b7:bd:ff:9d,API-RSA-scada,SCADA,Emerson,EME-SCADA-2350,2.8.85,Modbus TCP,VLAN-100,2025-11-24T07:26:13.142Z,2026-01-04T01:06:03.191Z,SNMP,97,"502,102,44818",1,CVE-2022-48659,Windows Embedded,true,2025-07-02,80
API-RSA-0016,172.16.10.16,87:e9:e7:69:8d:54,API-RSA-temperature-controller,Temperature Controller,Mettler Toledo,MET-TemperatureController-4090,5.0.70,HART,VLAN-100,2025-09-20T21:33:36.682Z,2026-01-07T15:28:21.246Z,Network Scan,74,"80,443,22",1,,,true,2025-03-25,71
API-RSA-0018,172.16.10.18,1b:84:0b:a5:42:14,API-RSA-plc,PLC,Bürkert,BÜR-PLC-1300,4.2.70,DNP3,VLAN-100,2025-11-04T11:08:45.440Z,2026-01-02T18:15:53.545Z,Protocol Analysis,77,"502,102,44818,2222,20000",0,CVE-2023-25694;CVE-2023-8631,Linux RT,false,2025-04-05,85
,172.16.10.21,95:1f:20:f7:36:a7,,Unknown,Unknown,,3.3.39,OPC UA,VLAN-100,2025-12-19T20:16:20.152Z,2026-01-02T02:12:29.480Z,Active Probe,71,"502,102",1,CVE-2021-32494,QNX,true,2025-02-11,95
API-RSA-0022,172.16.10.22,49:9f:ec:b9:fa:3a,API-RSA-pressure-sensor,Pressure Sensor,Siemens,SIE-PressureSensor-3334,3.9.21,Foundation Fieldbus,VLAN-100,2025-10-04T00:44:34.090Z,2026-01-08T00:10:17.673Z,Passive Monitoring,77,"80,443,22,161",3,CVE-2022-15534;CVE-2022-41781,,true,2025-12-14,77
,172.16.10.24,38:24:1e:bf:c8:3d,,Unknown,Unknown,,4.7.10,HART,VLAN-100,2025-10-08T06:53:08.722Z,2026-01-03T09:41:05.951Z,Active Probe,82,"80,443,22,161",0,CVE-2020-11225,,true,2025-10-13,78
API-RSA-0025,172.16.10.25,3c:3a:2e:39:1c:4d,API-RSA-batch-controller,Batch Controller,Sartorius,SAR-BatchController-6988,2.9.44,DNP3,VLAN-100,2025-11-24T16:41:29.003Z,2026-01-03T18:44:55.836Z,Protocol Analysis,72,"502,102,44818,2222",2,,VxWorks,true,2025-07-25,83
API-RSA-0026,172.16.10.26,90:a6:ca:a8:d7:42,API-RSA-mes-terminal,MES Terminal,Bürkert,BÜR-MESTerminal-6544,5.5.39,OPC UA,VLAN-100,2025-10-30T14:23:10.445Z,2026-01-02T06:25:16.958Z,Network Scan,71,"502,102,44818",2,CVE-2023-12071,QNX,true,2025-06-15,83
API-RSA-0028,172.16.10.28,94:3d:ff:ba:c1:48,API-RSA-weight-scale,Weight Scale,Siemens,SIE-WeightScale-9407,2.2.34,Profibus,VLAN-100,2025-12-30T16:26:42.757Z,2026-01-05T15:58:56.591Z,Protocol Analysis,70,"80,443,22,161,502",7,,,false,2025-08-10,76
API-RSA-0029,172.16.10.29,6a:f1:0c:47:6e:6c,API-RSA-hmi,HMI,Siemens,SIE-HMI-3659,2.0.63,Modbus TCP,VLAN-100,2025-08-15T12:43:47.861Z,2026-01-06T05:16:02.068Z,Network Scan,88,"502,102,44818",2,CVE-2023-7773;CVE-2020-14546,QNX,true,2025-11-05,85
API-RSA-0030,172.16.10.30,d0:0d:db:98:8d:c7,,MES Terminal,Unknown,,1.7.35,OPC UA,VLAN-100,2025-07-29T12:41:28.456Z,2026-01-03T00:51:32.326Z,SNMP,98,"502,102,44818,2222",1,,QNX,false,2025-10-29,91
API-RSA-0031,172.16.10.31,38:95:9b:9b:f5:c9,,Differential Pressure,Unknown,,4.6.44,HART,VLAN-100,2025-09-06T16:25:06.996Z,2026-01-02T11:39:35.272Z,Passive Monitoring,85,"80,443",2,CVE-2022-35425;CVE-2023-37472,,true,2025-02-16,74
API-RSA-0032,172.16.10.32,ff:71:3b:fb:61:2a,API-RSA-temperature-controller,Temperature Controller,Sartorius,SAR-TemperatureController-2320,2.9.26,Profibus,VLAN-100,2025-12-07T20:23:13.872Z,2026-01-07T06:08:43.575Z,Passive Monitoring,86,80,5,,,true,2025-06-18,72
,172.16.10.33,46:a4:4b:1b:91:08,,Unknown,Unknown,,2.0.87,Profibus,VLAN-100,2025-08-14T07:51:25.269Z,2026-01-06T05:34:26.307Z,Passive Monitoring,73,"80,443,22",4,CVE-2024-23361;CVE-2021-18381,,false,2025-11-03,78
API-RSA-0034,172.16.10.34,45:b1:04:94:01:b7,API-RSA-pressure-sensor,Pressure Sensor,ABB,ABB-PressureSensor-2677,4.0.52,Profibus,VLAN-100,2025-10-23T19:26:57.148Z,2026-01-06T07:17:53.104Z,Active Probe,89,"80,443",1,CVE-2023-29599;CVE-2020-5240,,false,2025-09-26,64
API-RSA-0036,172.16.10.36,41:b9:ad:b9:b1:16,API-RSA-differential-pressure,Differential Pressure,Endress+Hauser,END-DifferentialPressure-2525,2.0.38,Foundation Fieldbus,VLAN-100,2025-09-06T18:02:59.754Z,2026-01-07T17:18:16.055Z,Network Scan,83,80,2,CVE-2024-18125,,true,2025-10-10,71
API-RSA-0037,172.16.10.37,53:ed:47:43:a7:6b,,Environmental Monitor,Unknown,,4.5.31,Modbus,VLAN-100,2025-08-21T09:13:50.431Z,2026-01-05T23:28:49.730Z,Active Probe,94,"80,443,22,161,502",7,CVE-2022-18041;CVE-2021-21949,,false,2025-08-14,81
API-RSA-0039,172.16.10.39,dd:f6:b3:35:16:de,API-RSA-serialization-camera,Serialization Camera,Emerson,EME-SerializationCamera-6486,4.7.5,Modbus,VLAN-100,2025-07-24T07:58:05.516Z,2026-01-04T22:23:58.810Z,Network Scan,96,"80,443,22,161",2,,,true,2025-04-17,65
API-RSA-0040,172.16.10.40,bf:0e:4b:1c:12:dd,API-RSA-hmi,HMI,Endress+Hauser,END-HMI-1209,4.4.82,Modbus TCP,VLAN-100,2025-11-11T15:42:14.918Z,2026-01-04T02:57:01.450Z,Network Scan,89,"502,102",1,CVE-2022-3279,Windows Embedded,true,2025-04-10,82
API-RSA-0041,172.16.10.41,99:4a:48:b7:46:0e,API-RSA-flow-meter,Flow Meter,ABB,ABB-FlowMeter-9517,4.1.21,Profibus,VLAN-100,2025-12-12T09:49:52.468Z,2026-01-03T14:05:27.781Z,Passive Monitoring,87,"80,443,22",7,CVE-2021-1903;CVE-2023-30360,,false,2025-12-17,74
API-RSA-0042,172.16.10.42,9e:c4:77:ff:42:c7,API-RSA-hmi,HMI,Mettler Toledo,MET-HMI-7433,4.2.82,OPC UA,VLAN-100,2025-09-01T04:13:42.643Z,2026-01-02T11:14:42.152Z,Network Scan,82,502,1,CVE-2021-45455,QNX,true,2025-10-29,78
API-RSA-0043,172.16.10.43,c0:95:75:4f:00:b4,API-RSA-label-printer,Label Printer,Bürkert,BÜR-LabelPrinter-3116,2.7.46,HART,VLAN-100,2025-09-16T14:53:34.840Z,2026-01-03T22:47:20.959Z,SNMP,73,"80,443,22",3,,,false,2025-09-21,67
