asset_id,plant,unit,instrument_type,oem,model,last_patch_date,maintenance_status,next_maintenance,criticality,nerc_cip,ferc_regulated
"GEN-002","Pacific Power","Generation Unit","Grid Controller","GE","GridController-1006","2025-10-09","Overdue","2025-11-30","Critical","true","true"
"GEN-003","Pacific Power","Generation Unit","IED","ABB","IED-2748","2025-03-11","Current","2025-10-29","Critical","true","true"
"GEN-004","Pacific Power","Generation Unit","Grid Controller","Honeywell","GridController-9017","2024-12-28","Current","2025-11-09","Critical","true","true"
"GEN-005","Pacific Power","Generation Unit","EMS","ABB","EMS-2098","2025-06-13","Current","2025-11-02","Critical","true","true"
"GEN-007","Pacific Power","Generation Unit","RTU","Honeywell","RTU-1470","2024-11-13","Current","2025-12-26","Critical","true","true"
"GEN-008","Pacific Power","Generation Unit","Arc Flash Monitor","ABB","ArcFlashMonitor-2468","2024-12-05","Overdue","2025-11-20","Critical","true","true"
"GEN-009","Pacific Power","Generation Unit","DMS","Honeywell","DMS-3287","2025-05-25","Current","2025-12-25","Critical","true","true"
"GEN-010","Pacific Power","Generation Unit","Grid Controller","ABB","GridController-7977","2025-07-12","Overdue","2025-11-02","Critical","true","true"
"GEN-011","Pacific Power","Generation Unit","RTU","GE","RTU-2918","2025-09-06","Current","2025-12-11","Critical","true","true"
"GEN-012","Pacific Power","Generation Unit","SCADA","ABB","SCADA-2684","2025-10-24","Current","2025-10-24","Critical","true","true"
"GEN-013","Pacific Power","Generation Unit","Environmental Monitor","Siemens","EnvironmentalMonitor-1770","2025-10-22","Current","2025-12-16","Critical","true","true"
"GEN-015","Pacific Power","Generation Unit","SCADA","Siemens","SCADA-1701","2025-08-09","Current","2026-01-20","Critical","true","true"
"GEN-016","Pacific Power","Generation Unit","Protection Relay","Siemens","ProtectionRelay-2138","2025-05-27","Current","2025-11-16","Critical","true","true"
"GEN-017","Pacific Power","Generation Unit","DMS","Honeywell","DMS-9367","2025-10-09","Overdue","2025-12-01","Critical","true","true"
"GEN-018","Pacific Power","Generation Unit","EMS","ABB","EMS-8424","2025-09-19","Current","2025-11-24","Critical","true","true"
"GEN-019","Pacific Power","Generation Unit","IED","Schneider","IED-8220","2025-01-12","Overdue","2025-11-07","Critical","true","true"
"GEN-020","Pacific Power","Generation Unit","IED","Siemens","IED-3649","2025-05-10","Overdue","2025-10-28","Critical","true","true"
"GEN-021","Pacific Power","Generation Unit","EMS","ABB","EMS-9287","2025-09-14","Current","2025-12-07","Critical","true","true"
"GEN-022","Pacific Power","Generation Unit","HMI","Schneider","HMI-6138","2025-05-25","Current","2025-12-26","Critical","true","true"
"GEN-024","Pacific Power","Generation Unit","Protection Relay","ABB","ProtectionRelay-3353","2025-04-04","Current","2025-11-06","Critical","true","true"
"GEN-025","Pacific Power","Generation Unit","Arc Flash Monitor","Siemens","ArcFlashMonitor-3452","2025-05-05","Current","2025-12-14","Critical","true","true"
"GEN-026","Pacific Power","Generation Unit","DMS","GE","DMS-3249","2025-01-18","Current","2025-11-01","Critical","true","true"
"GEN-027","Pacific Power","Generation Unit","IED","Schneider","IED-6360","2024-12-25","Overdue","2025-12-14","Critical","true","true"
"GEN-028","Pacific Power","Generation Unit","Environmental Monitor","Honeywell","EnvironmentalMonitor-8261","2024-10-30","Current","2025-12-15","Critical","true","true"
"GEN-029","Pacific Power","Generation Unit","DMS","GE","DMS-7057","2025-09-08","Overdue","2026-01-05","Critical","true","true"
"GEN-030","Pacific Power","Generation Unit","IED","Siemens","IED-6088","2025-06-28","Current","2025-12-24","Critical","true","true"
"GEN-031","Pacific Power","Generation Unit","Protection Relay","GE","ProtectionRelay-9963","2025-04-03","Overdue","2025-11-29","Critical","true","true"
"GEN-032","Pacific Power","Generation Unit","DMS","Schneider","DMS-9355","2025-06-16","Current","2025-12-08","Critical","true","true"
"GEN-033","Pacific Power","Generation Unit","Protection Relay","ABB","ProtectionRelay-4901","2025-08-10","Current","2026-01-16","Critical","true","true"
"GEN-034","Pacific Power","Generation Unit","RTU","Schneider","RTU-7716","2025-08-20","Current","2025-11-30","Critical","true","true"
"GEN-035","Pacific Power","Generation Unit","Grid Controller","Honeywell","GridController-8332","2025-01-28","Overdue","2026-01-20","Critical","true","true"
"GEN-036","Pacific Power","Generation Unit","Protection Relay","Honeywell","ProtectionRelay-6792","2024-10-27","Overdue","2025-11-15","Critical","true","true"
"GEN-037","Pacific Power","Generation Unit","HMI","ABB","HMI-8849","2024-11-08","Current","2025-12-12","Critical","true","true"
"GEN-038","Pacific Power","Generation Unit","Arc Flash Monitor","Siemens","ArcFlashMonitor-5926","2025-07-30","Current","2025-11-02","Critical","true","true"
"GEN-039","Pacific Power","Generation Unit","EMS","Siemens","EMS-1726","2025-01-02","Current","2025-10-30","Critical","true","true"
"GEN-040","Pacific Power","Generation Unit","Grid Controller","Schneider","GridController-4086","2025-04-05","Current","2026-01-03","Critical","true","true"
"GEN-041","Pacific Power","Generation Unit","RTU","ABB","RTU-3419","2025-06-22","Overdue","2026-01-18","Critical","true","true"
