tag_id,plant,plant_code,unit,unit_code,area,device_type,security_tier,criticality,manufacturer,model,serial_number,description,location,installation_date,expected_ip,expected_protocol,vlan,safety_system,last_maintenance,warranty_expires
TMC-OPS-0001,Statewide Traffic Operations,TMC,Traffic Management Center,TMC,TMC Core,ATMS Server,1,Critical,TransCore,ATMS-EDGE-9000,SN-DOT-0001,Primary ATMS application server,TMC Data Room Rack 1,2021-03-14,10.40.1.10,HTTPS,410,TMC-OPS,2026-01-10,2028-03-14
TMC-OPS-0002,Statewide Traffic Operations,TMC,Traffic Management Center,TMC,TMC Core,ATMS Server,1,Critical,TransCore,ATMS-EDGE-9000,SN-DOT-0002,Failover ATMS application server,TMC Data Room Rack 1,2022-08-20,10.40.1.11,HTTPS,410,TMC-OPS,2025-09-30,2028-08-20
TMC-OPS-0003,Statewide Traffic Operations,TMC,Traffic Management Center,TMC,TMC Core,SCADA Historian,1,Critical,OSIsoft,PI-Server,SN-DOT-0003,Traffic operations historian,TMC Data Room Rack 2,2020-09-02,10.40.1.12,OPC UA,410,TMC-OPS,2025-12-20,2027-09-02
TMC-OPS-0004,Statewide Traffic Operations,TMC,Traffic Management Center,TMC,TMC Core,Network Management Server,2,High,SolarWinds,NPM,SN-DOT-0004,Network monitoring server,TMC Data Room Rack 3,2021-12-05,10.40.10.22,HTTPS,430,TMC-COMMS,2026-01-02,2027-12-05
TMC-OPS-0005,Statewide Traffic Operations,TMC,Traffic Management Center,TMC,TMC Core,Domain Controller,1,Critical,Microsoft,Windows Server,SN-DOT-0005,OT identity / domain controller,TMC Data Room Rack 3,2020-05-18,10.40.1.5,LDAPS,410,TMC-OPS,2025-11-10,2027-05-18
TMC-OPS-0006,Statewide Traffic Operations,TMC,DMZ / Remote Access,DMZ,Outer Perimeter,Firewall,1,Critical,Palo Alto,PA-3220,SN-DOT-0006,Outer DMZ firewall,TMC DMZ Rack,2022-04-18,10.40.2.1,HTTPS,420,TMC-OPS,2026-01-12,2028-04-18
TMC-OPS-0007,Statewide Traffic Operations,TMC,DMZ / Remote Access,DMZ,Inner Perimeter,Firewall,1,Critical,Palo Alto,PA-3220,SN-DOT-0007,Inner DMZ firewall,TMC DMZ Rack,2022-04-18,10.40.2.2,HTTPS,420,TMC-OPS,2026-01-12,2028-04-18
TMC-OPS-0008,Statewide Traffic Operations,TMC,DMZ / Remote Access,DMZ,Remote Access,Jump Host,1,Critical,Microsoft,Windows Server,SN-DOT-0008,Privileged vendor jump host,TMC DMZ Rack,2023-01-11,10.40.2.20,RDP,420,TMC-OPS,2025-11-27,2028-01-11
TMC-OPS-0009,Statewide Traffic Operations,TMC,DMZ / Remote Access,DMZ,Remote Access,Remote Access Concentrator,1,Critical,Cisco,ASA VPN,SN-DOT-0009,VPN concentrator for vendor access,TMC DMZ Rack,2021-01-15,10.40.2.5,IPsec,420,TMC-OPS,2025-12-05,2027-01-15
TMC-OPS-0010,Statewide Traffic Operations,TMC,Fiber Backhaul,FBR,Backhaul Core,Core Router,1,Critical,Cisco,ASR-1001,SN-DOT-0010,Primary fiber ring router,TMC Network Rack,2019-07-22,10.40.10.1,SNMPv3,430,TMC-COMMS,2025-12-18,2027-07-22
