ip_address,hostname,mac_address,device_type,manufacturer,model,is_managed,has_security_patches,encryption_enabled,authentication_required,firewall_protected,access_control,vulnerabilities,cve_count,last_seen,confidence_level,firmware_version,protocol
192.168.10.10,PLC-CDU-001,00:1A:2B:3C:4D:01,PLC,Siemens,S7-1500,true,true,false,true,true,Role-Based,0,0,2024-11-05,100,V2.8.3,Profinet
192.168.10.11,,00:1A:2B:3C:4D:02,PLC,Siemens,S7-1500,true,true,false,true,true,Role-Based,1,1,2024-11-05,95,V2.8.1,Profinet
192.168.10.15,HMI-CDU-UNKNOWN,00:1A:2B:3C:4D:03,HMI,Unknown,Unknown,false,false,false,false,true,None,5,3,2024-11-04,65,Unknown,Unknown
192.168.15.20,PLC-FCC-001,00:1B:3C:4D:5E:01,Controller,Allen-Bradley,ControlLogix,true,false,false,true,true,Role-Based,2,1,2024-11-05,98,v21.11,EtherNet/IP
192.168.15.21,PLC-FCC-BAK,00:1B:3C:4D:5E:02,PLC,Allen-Bradley,ControlLogix,true,false,false,true,true,Role-Based,2,1,2024-11-03,90,v20.19,EtherNet/IP
192.168.15.5,,00:1B:3C:4D:5E:10,DCS,Honeywell,Experion,true,true,true,true,true,RBAC,0,0,2024-11-05,100,R511.5,Proprietary
192.168.15.6,DCS-FCC-N2,00:1B:3C:4D:5E:11,DCS,Honeywell,Experion,true,true,true,true,true,RBAC,0,0,2024-11-05,100,R511.5,Proprietary
192.168.15.100,ANALYZER-O2-01,00:1B:3C:4D:5E:20,Analyzer,Generic,Unknown,false,false,false,false,true,None,8,4,2024-11-05,70,1.2.3,Modbus TCP
192.168.20.10,RTU-HCU-001,00:2C:4D:5E:6F:01,RTU,Schneider,Modicon,true,true,false,true,true,Role-Based,1,0,2024-11-05,95,v2.80,Modbus TCP
192.168.20.11,DEVICE-192-168-20-11,00:2C:4D:5E:6F:02,PLC,Siemens,Unknown,false,false,false,false,true,None,12,7,2024-11-02,55,Unknown,Profinet
192.168.5.50,SCADA-PRIMARY,00:3D:5E:6F:7A:01,SCADA,Generic,Unknown,true,false,true,true,true,RBAC,4,2,2024-11-05,85,Unknown,TCP/IP
192.168.5.51,PI-HISTORIAN,00:3D:5E:6F:7A:02,Historian,OSIsoft,PI,true,true,true,true,true,RBAC,1,1,2024-11-05,100,2023,TCP/IP
192.168.5.60,ENG-WS-01,00:3D:5E:6F:7A:03,Workstation,Dell,OptiPlex,true,true,true,true,true,Windows AD,3,2,2024-11-05,95,Win10,TCP/IP
192.168.5.61,,00:3D:5E:6F:7A:04,Workstation,Unknown,Unknown,false,false,false,false,false,None,15,8,2024-10-28,50,Unknown,TCP/IP
192.168.1.1,FW-OT-PRIMARY,00:4E:6F:7A:8B:01,Firewall,Palo Alto,PA-5220,true,true,true,true,true,Full,0,0,2024-11-05,100,10.2.3,TCP/IP
192.168.10.2,SW-CDU-01,00:1A:2B:3C:4D:10,Switch,Cisco,IE-3400,true,true,true,true,true,Role-Based,0,0,2024-11-05,100,17.6.1,TCP/IP
