tag_id,plant,plant_code,unit,unit_code,area,device_type,security_tier,criticality,manufacturer,model,serial_number,description,location,installation_date,expected_ip,expected_protocol,vlan,safety_system,last_maintenance,warranty_expires
CGN-TRB-0001,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Voltage Transformer,2,Critical,SEL,SEL-VoltageTransformer-2785,SN-mk501gjs-M49GV5,Voltage Transformer for Turbine Hall operations,"Turbine Hall, Station 1",2025-05-18,192.168.10.1,Foundation Fieldbus,100,SIS-TRB,2025-08-23,2026-06-30
CGN-TRB-0002,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Disconnect Switch,2,Critical,Toshiba,TOS-DisconnectSwitch-5905,SN-mk501gju-Z7W2UT,Disconnect Switch for Turbine Hall operations,"Turbine Hall, Station 2",2022-01-31,192.168.10.2,Profibus,100,SIS-TRB,2025-02-24,2026-04-01
CGN-TRB-0003,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Circuit Breaker,2,Critical,ABB,ABB-CircuitBreaker-1150,SN-mk501gju-G0YOTX,Circuit Breaker for Turbine Hall operations,"Turbine Hall, Station 3",2020-08-11,192.168.10.3,Foundation Fieldbus,100,SIS-TRB,2025-05-13,2026-03-24
CGN-TRB-0004,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Circuit Breaker,2,Critical,Eaton,EAT-CircuitBreaker-3229,SN-mk501gju-L2EJGC,Circuit Breaker for Turbine Hall operations,"Turbine Hall, Station 4",2021-10-14,192.168.10.4,HART,100,SIS-TRB,2025-07-27,2026-01-28
CGN-TRB-0005,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Voltage Transformer,2,Critical,Hitachi,HIT-VoltageTransformer-9086,SN-mk501gju-ZC61WQ,Voltage Transformer for Turbine Hall operations,"Turbine Hall, Station 5",2016-07-09,192.168.10.5,HART,100,SIS-TRB,2025-10-28,2028-09-10
CGN-TRB-0006,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,IED,1,Critical,Schneider,SCH-IED-7349,SN-mk501gju-6M2RLT,IED for Turbine Hall operations,"Turbine Hall, Station 6",2024-09-06,192.168.10.6,DNP3,100,SIS-TRB,2025-04-13,2027-12-06
CGN-TRB-0007,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Protection Relay,1,Critical,Hitachi,HIT-ProtectionRelay-4310,SN-mk501gju-M9TUY1,Protection Relay for Turbine Hall operations,"Turbine Hall, Station 7",2024-10-19,192.168.10.7,Modbus TCP,100,SIS-TRB,2025-06-18,2028-07-30
CGN-TRB-0008,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Protection Relay,1,Critical,Eaton,EAT-ProtectionRelay-5222,SN-mk501gju-L4DGH1,Protection Relay for Turbine Hall operations,"Turbine Hall, Station 8",2022-10-07,192.168.10.8,Modbus TCP,100,SIS-TRB,2025-06-28,2026-04-14
CGN-TRB-0009,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,Disconnect Switch,2,Critical,Hitachi,HIT-DisconnectSwitch-3529,SN-mk501gju-W2F82Q,Disconnect Switch for Turbine Hall operations,"Turbine Hall, Station 9",2024-04-15,192.168.10.9,Profibus,100,SIS-TRB,2025-09-19,2028-06-09
CGN-TRB-0010,Central Generation,CGN,Turbine Hall,TRB,Turbine Hall - Zone 1,HMI,1,Critical,Toshiba,TOS-HMI-8898,SN-mk501gju-9FFSNJ,HMI for Turbine Hall operations,"Turbine Hall, Station 10",2023-01-31,192.168.10.10,DNP3,100,SIS-TRB,2025-11-24,2027-09-29
