tag_id,plant,unit,area,device_type,manufacturer,model,physical_condition,last_inspection_date,inspector_id,cabinet_number,gps_lat,gps_lon,physical_tag_verified,damage_notes,security_seal_intact,environment,discovery_method
TMC-OPS-0001,Statewide Traffic Operations,Traffic Management Center,TMC Core,ATMS Server,TransCore,ATMS-EDGE-9000,Good,2026-04-12,INS-001,TMC-RACK-01,42.7325,-84.5555,true,,true,Indoor,Field Walkdown
TMC-OPS-0002,Statewide Traffic Operations,Traffic Management Center,TMC Core,ATMS Server,TransCore,ATMS-EDGE-9000,Good,2026-04-12,INS-001,TMC-RACK-01,42.7325,-84.5555,true,Cold standby; powered but idle,true,Indoor,Field Walkdown
TMC-OPS-0003,Statewide Traffic Operations,Traffic Management Center,TMC Core,SCADA Historian,OSIsoft,PI-Server,Good,2026-04-12,INS-001,TMC-RACK-02,42.7325,-84.5555,true,,true,Indoor,Field Walkdown
TMC-OPS-0004,Statewide Traffic Operations,Traffic Management Center,TMC Core,Network Management Server,SolarWinds,NPM,Good,2026-04-12,INS-001,TMC-RACK-03,42.7325,-84.5555,true,,true,Indoor,Field Walkdown
TMC-OPS-0005,Statewide Traffic Operations,Traffic Management Center,TMC Core,Domain Controller,Microsoft,Windows Server,Good,2026-04-12,INS-001,TMC-RACK-03,42.7325,-84.5555,true,,true,Indoor,Field Walkdown
TMC-OPS-0006,Statewide Traffic Operations,DMZ / Remote Access,Outer Perimeter,Firewall,Palo Alto,PA-3220,Good,2026-04-12,INS-001,TMC-DMZ-01,42.7325,-84.5555,true,,true,Indoor,Field Walkdown
TMC-OPS-0010,Statewide Traffic Operations,Fiber Backhaul,Backhaul Core,Core Router,Cisco,ASR-1001,Good,2026-04-12,INS-001,TMC-NET-01,42.7325,-84.5555,true,,true,Indoor,Field Walkdown
TMC-OPS-0011,Statewide Traffic Operations,Fiber Backhaul,Backhaul Core,Core Router,Cisco,ASR-1001,Good,2026-04-12,INS-001,TMC-NET-01,42.7325,-84.5555,true,,true,Indoor,Field Walkdown
TMC-OPS-0012,Statewide Traffic Operations,Fiber Backhaul,Backhaul Core,Distribution Switch,Cisco,Catalyst-9300,Good,2026-04-12,INS-001,TMC-NET-01,42.7325,-84.5555,true,,true,Indoor,Field Walkdown
I96-SIG-0013,Southeast District,I-96 Corridor,Intersection 14,Traffic Signal Controller,Econolite,Cobalt,Good,2026-03-22,INS-014,I96-CAB-014,42.4775,-83.2680,true,,true,Cabinet,Field Walkdown
I96-SIG-0014,Southeast District,I-96 Corridor,Intersection 16,Traffic Signal Controller,Econolite,Cobalt,Failed,2026-03-22,INS-014,I96-CAB-016,42.4790,-83.2950,true,Controller failed - awaiting replacement (work order WO-2026-0412),true,Cabinet,Field Walkdown
I96-SIG-0015,Southeast District,I-96 Corridor,Intersection 17,Traffic Signal Controller,Siemens,M60,Good,2026-03-22,INS-014,I96-CAB-017,42.4810,-83.3120,true,,true,Cabinet,Field Walkdown
I96-CAB-0016,Southeast District,Roadside Cabinets,Intersection 14,Field Ethernet Switch,Cisco,IE-3300,Good,2026-03-22,INS-014,I96-CAB-014,42.4775,-83.2680,true,,true,Cabinet,Field Walkdown
I96-CAB-0017,Southeast District,Roadside Cabinets,Intersection 16,Field Ethernet Switch,Cisco,IE-3300,Poor,2026-03-22,INS-014,I96-CAB-016,42.4790,-83.2950,true,Power supply failed - intermittent operation,false,Cabinet,Field Walkdown
I96-CAB-0018,Southeast District,Roadside Cabinets,Intersection 17,Field Ethernet Switch,Cisco,IE-3300,Good,2026-03-22,INS-014,I96-CAB-017,42.4810,-83.3120,true,,true,Cabinet,Field Walkdown
I96-CAB-0020,Southeast District,Roadside Cabinets,Intersection 16,Cellular Router,Cradlepoint,IBR900,Good,2026-03-22,INS-014,I96-CAB-016,42.4790,-83.2950,true,,true,Cabinet,Field Walkdown
I96-CCTV-0021,Southeast District,I-96 Corridor,MM 142,CCTV Camera,Bosch,Autodome IP,Good,2026-03-22,INS-014,I96-POLE-142,42.4750,-83.2400,true,,true,Outdoor,Field Walkdown
