asset_id,plant,unit,instrument_type,oem,model,last_patch_date,maintenance_status,next_maintenance,criticality
"BOD-001","Detroit Assembly","Body Shop","Quality Scanner","KUKA","QualityScanner-1745","2025-03-14","Current","2026-01-20","Critical"
"BOD-003","Detroit Assembly","Body Shop","Welding Controller","ABB","WeldingController-6982","2025-02-01","Overdue","2025-12-18","Critical"
"BOD-004","Detroit Assembly","Body Shop","Conveyor Controller","ABB","ConveyorController-9816","2025-06-21","Overdue","2025-12-15","Critical"
"BOD-005","Detroit Assembly","Body Shop","HMI Station","Fanuc","HMIStation-7060","2025-01-01","Current","2026-01-19","Critical"
"BOD-007","Detroit Assembly","Body Shop","Paint Robot","Rockwell","PaintRobot-6144","2025-07-16","Current","2026-01-03","Critical"
"BOD-008","Detroit Assembly","Body Shop","Robot Controller","Rockwell","RobotController-4264","2025-06-26","Current","2025-11-03","Critical"
"BOD-009","Detroit Assembly","Body Shop","HMI Station","KUKA","HMIStation-9052","2025-01-24","Current","2025-12-27","Critical"
"BOD-010","Detroit Assembly","Body Shop","Paint Controller","Fanuc","PaintController-9757","2024-11-17","Current","2025-12-23","Critical"
"BOD-011","Detroit Assembly","Body Shop","Assembly Robot","Fanuc","AssemblyRobot-7906","2024-11-07","Overdue","2025-11-11","Critical"
"BOD-012","Detroit Assembly","Body Shop","Welding Robot","KUKA","WeldingRobot-9062","2025-10-09","Current","2025-11-25","Critical"
"BOD-013","Detroit Assembly","Body Shop","Paint Controller","KUKA","PaintController-5312","2025-10-11","Overdue","2025-12-13","Critical"
"BOD-014","Detroit Assembly","Body Shop","Robot Controller","Fanuc","RobotController-4776","2025-05-08","Current","2025-12-06","Critical"
"BOD-015","Detroit Assembly","Body Shop","Conveyor Controller","ABB","ConveyorController-3753","2025-10-10","Overdue","2026-01-13","Critical"
"BOD-016","Detroit Assembly","Body Shop","Quality Scanner","KUKA","QualityScanner-3554","2025-01-24","Current","2025-12-06","Critical"
"BOD-019","Detroit Assembly","Body Shop","Safety PLC","KUKA","SafetyPLC-1258","2025-04-16","Current","2025-10-30","Critical"
"BOD-020","Detroit Assembly","Body Shop","Vision System","ABB","VisionSystem-9052","2025-02-03","Current","2026-01-04","Critical"
"BOD-021","Detroit Assembly","Body Shop","Welding Controller","Siemens","WeldingController-9028","2025-02-19","Current","2025-12-13","Critical"
"BOD-022","Detroit Assembly","Body Shop","Conveyor Controller","Rockwell","ConveyorController-4880","2025-02-21","Current","2025-11-02","Critical"
"BOD-023","Detroit Assembly","Body Shop","Safety PLC","KUKA","SafetyPLC-6186","2025-05-06","Current","2026-01-04","Critical"
"BOD-024","Detroit Assembly","Body Shop","SCADA System","ABB","SCADASystem-9164","2025-03-10","Current","2025-11-13","Critical"
"BOD-025","Detroit Assembly","Body Shop","Safety PLC","KUKA","SafetyPLC-6735","2025-01-15","Overdue","2025-11-27","Critical"
"BOD-026","Detroit Assembly","Body Shop","Robot Controller","Siemens","RobotController-6004","2025-07-27","Current","2025-12-13","Critical"
"BOD-027","Detroit Assembly","Body Shop","Safety PLC","Rockwell","SafetyPLC-1079","2025-04-27","Current","2026-01-20","Critical"
"PAI-001","Detroit Assembly","Paint Shop","Paint Robot","Siemens","PaintRobot-8624","2025-03-23","Current","2025-11-03","Critical"
"PAI-002","Detroit Assembly","Paint Shop","HMI Station","KUKA","HMIStation-6521","2024-11-17","Overdue","2026-01-04","Critical"
