tag_id,plant,plant_code,unit,unit_code,area,device_type,security_tier,criticality,manufacturer,model,serial_number,description,location,installation_date,expected_ip,expected_protocol,vlan,safety_system,last_maintenance,warranty_expires
API-RSA-0001,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Particle Counter,2,Critical,Endress+Hauser,END-ParticleCounter-9694,SN-mk501w5e-H4PUVV,Particle Counter for Reactor Suite A operations,"Reactor Suite A, Station 1",2017-05-22,172.16.10.1,Modbus,100,SIS-RSA,2025-02-08,2028-12-01
API-RSA-0002,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Manual Gauge,3,Critical,Endress+Hauser,END-ManualGauge-5106,SN-mk501w5g-D83C9I,Manual Gauge for Reactor Suite A operations,"Reactor Suite A, Station 2",2022-04-01,,,100,SIS-RSA,2025-02-26,2027-07-29
API-RSA-0003,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Manual Gauge,3,Critical,Sartorius,SAR-ManualGauge-2703,SN-mk501w5g-LPUAXL,Manual Gauge for Reactor Suite A operations,"Reactor Suite A, Station 3",2024-11-19,,,100,SIS-RSA,2025-08-08,2026-02-14
API-RSA-0004,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Batch Controller,1,Critical,ABB,ABB-BatchController-3632,SN-mk501w5g-01FFC0,Batch Controller for Reactor Suite A operations,"Reactor Suite A, Station 4",2019-01-10,172.16.10.4,IEC 61850,100,SIS-RSA,2025-06-05,2027-02-11
API-RSA-0005,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Label Printer,2,Critical,Bürkert,BÜR-LabelPrinter-7963,SN-mk501w5h-NPKEZX,Label Printer for Reactor Suite A operations,"Reactor Suite A, Station 5",2018-09-04,172.16.10.5,Modbus,100,SIS-RSA,2025-05-01,2026-04-01
API-RSA-0006,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Conductivity Sensor,2,Critical,Mettler Toledo,MET-ConductivitySensor-1904,SN-mk501w5h-8NB7Z1,Conductivity Sensor for Reactor Suite A operations,"Reactor Suite A, Station 6",2019-09-19,172.16.10.6,HART,100,SIS-RSA,2025-08-13,2027-04-14
API-RSA-0007,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Serialization Camera,2,Critical,Endress+Hauser,END-SerializationCamera-3976,SN-mk501w5h-GCF8G0,Serialization Camera for Reactor Suite A operations,"Reactor Suite A, Station 7",2023-02-12,172.16.10.7,Foundation Fieldbus,100,SIS-RSA,2025-04-16,2027-02-27
API-RSA-0008,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Environmental Monitor,2,Critical,Sartorius,SAR-EnvironmentalMonitor-7389,SN-mk501w5h-QQ58CR,Environmental Monitor for Reactor Suite A operations,"Reactor Suite A, Station 8",2016-10-18,172.16.10.8,Profibus,100,SIS-RSA,2025-05-30,2026-11-07
API-RSA-0009,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,pH Sensor,2,Critical,Endress+Hauser,END-pHSensor-6644,SN-mk501w5h-TKYF96,pH Sensor for Reactor Suite A operations,"Reactor Suite A, Station 9",2023-01-04,172.16.10.9,HART,100,SIS-RSA,2025-09-24,2026-12-28
API-RSA-0010,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Manual Gauge,3,Critical,Siemens,SIE-ManualGauge-7919,SN-mk501w5h-9ZDQTI,Manual Gauge for Reactor Suite A operations,"Reactor Suite A, Station 10",2025-08-20,,,100,SIS-RSA,2025-12-13,2026-06-19
API-RSA-0011,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Environmental Monitor,2,Critical,Rockwell,ROC-EnvironmentalMonitor-8179,SN-mk501w5h-I6QJC4,Environmental Monitor for Reactor Suite A operations,"Reactor Suite A, Station 11",2022-08-05,172.16.10.11,Profibus,100,SIS-RSA,2025-01-28,2026-11-08
API-RSA-0012,API Production,API,Reactor Suite A,RSA,Reactor Suite A - Zone 1,Batch Controller,1,Critical,ABB,ABB-BatchController-7553,SN-mk501w5h-3WT56N,Batch Controller for Reactor Suite A operations,"Reactor Suite A, Station 12",2020-05-12,172.16.10.12,DNP3,100,SIS-RSA,2025-02-21,2028-09-28
