asset_id,asset_name,asset_type,parent_unit,process_function,criticality,business_impact,failure_consequence,location,manufacturer,model
A0001,CDU-PUMP-001,PUMP,CDU,Fluid_Transport,High,Medium,Quality_Impact,CDU-M84,Flowserve,Flowserve_PUMP_961
A0002,CDU-PUMP-002,PUMP,CDU,Fluid_Transport,High,High,Production_Impact,CDU-C47,Emerson,Emerson_PUMP_146
A0003,CDU-PUMP-003,PUMP,CDU,Fluid_Transport,High,High,Quality_Impact,CDU-Y16,Grundfos,Grundfos_PUMP_259
A0004,CDU-PUMP-004,PUMP,CDU,Fluid_Transport,High,High,Quality_Impact,CDU-G55,Grundfos,Grundfos_PUMP_453
A0005,CDU-PUMP-005,PUMP,CDU,Fluid_Transport,High,High,Quality_Impact,CDU-Q69,KSB,KSB_PUMP_782
A0006,CDU-PUMP-006,PUMP,CDU,Fluid_Transport,High,Medium,Production_Impact,CDU-C24,GE,GE_PUMP_588
A0007,CDU-PUMP-007,PUMP,CDU,Fluid_Transport,High,High,Quality_Impact,CDU-N34,Honeywell,Honeywell_PUMP_147
A0008,CDU-PUMP-008,PUMP,CDU,Fluid_Transport,High,High,Quality_Impact,CDU-R77,Grundfos,Grundfos_PUMP_103
A0009,CDU-PUMP-009,PUMP,CDU,Fluid_Transport,High,High,Quality_Impact,CDU-K60,Siemens,Siemens_PUMP_963
A0010,CDU-PUMP-010,PUMP,CDU,Fluid_Transport,High,Medium,Quality_Impact,CDU-R30,Siemens,Siemens_PUMP_493
A0011,CDU-PUMP-011,PUMP,CDU,Fluid_Transport,High,Medium,Production_Impact,CDU-O67,Siemens,Siemens_PUMP_611
A0012,CDU-PUMP-012,PUMP,CDU,Fluid_Transport,High,High,Production_Impact,CDU-J17,Honeywell,Honeywell_PUMP_236
A0013,CDU-PUMP-013,PUMP,CDU,Fluid_Transport,High,High,Production_Impact,CDU-H86,Grundfos,Grundfos_PUMP_728
A0014,CDU-PUMP-014,PUMP,CDU,Fluid_Transport,High,High,Production_Impact,CDU-Q10,Grundfos,Grundfos_PUMP_817
A0015,CDU-PUMP-015,PUMP,CDU,Fluid_Transport,High,High,Quality_Impact,CDU-O98,KSB,KSB_PUMP_668
A0016,CDU-COMPRESSOR-001,COMPRESSOR,CDU,Gas_Compression,Critical,Very_High,Production_Impact,CDU-A72,Honeywell,Honeywell_COMPRESSOR_120
A0017,CDU-COMPRESSOR-002,COMPRESSOR,CDU,Gas_Compression,Critical,High,Unit_Shutdown,CDU-L18,Sulzer,Sulzer_COMPRESSOR_280
A0018,CDU-COMPRESSOR-003,COMPRESSOR,CDU,Gas_Compression,Critical,High,Production_Impact,CDU-V43,Siemens,Siemens_COMPRESSOR_978
A0019,CDU-COMPRESSOR-004,COMPRESSOR,CDU,Gas_Compression,Critical,Very_High,Production_Impact,CDU-M53,Siemens,Siemens_COMPRESSOR_1060
A0020,CDU-COMPRESSOR-005,COMPRESSOR,CDU,Gas_Compression,Critical,Very_High,Production_Impact,CDU-W31,Honeywell,Honeywell_COMPRESSOR_250
A0021,CDU-COMPRESSOR-006,COMPRESSOR,CDU,Gas_Compression,Critical,High,Unit_Shutdown,CDU-J8,Siemens,Siemens_COMPRESSOR_868
A0022,CDU-COMPRESSOR-007,COMPRESSOR,CDU,Gas_Compression,Critical,High,Unit_Shutdown,CDU-X71,KSB,KSB_COMPRESSOR_929
A0023,CDU-COMPRESSOR-008,COMPRESSOR,CDU,Gas_Compression,Critical,Very_High,Production_Impact,CDU-O95,Siemens,Siemens_COMPRESSOR_267
A0024,CDU-COMPRESSOR-009,COMPRESSOR,CDU,Gas_Compression,Critical,High,Unit_Shutdown,CDU-C77,Sulzer,Sulzer_COMPRESSOR_231
A0025,CDU-COMPRESSOR-010,COMPRESSOR,CDU,Gas_Compression,Critical,Very_High,Production_Impact,CDU-H47,Honeywell,Honeywell_COMPRESSOR_888
A0026,CDU-COMPRESSOR-011,COMPRESSOR,CDU,Gas_Compression,Critical,High,Production_Impact,CDU-J7,Siemens,Siemens_COMPRESSOR_334
A0027,CDU-COMPRESSOR-012,COMPRESSOR,CDU,Gas_Compression,Critical,High,Production_Impact,CDU-B35,GE,GE_COMPRESSOR_764
A0028,CDU-COMPRESSOR-013,COMPRESSOR,CDU,Gas_Compression,Critical,Very_High,Production_Impact,CDU-L27,Grundfos,Grundfos_COMPRESSOR_246
A0029,CDU-COMPRESSOR-014,COMPRESSOR,CDU,Gas_Compression,Critical,Very_High,Unit_Shutdown,CDU-M15,Sulzer,Sulzer_COMPRESSOR_693
A0030,CDU-HEAT_EXCHANGER-001,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Low,Quality_Impact,CDU-L66,Flowserve,Flowserve_HEAT_EXCHANGER_302
A0031,CDU-HEAT_EXCHANGER-002,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Medium,Maintenance_Required,CDU-X58,Honeywell,Honeywell_HEAT_EXCHANGER_801
A0032,CDU-HEAT_EXCHANGER-003,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Low,Maintenance_Required,CDU-M21,Siemens,Siemens_HEAT_EXCHANGER_1062
A0033,CDU-HEAT_EXCHANGER-004,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Medium,Maintenance_Required,CDU-V96,Grundfos,Grundfos_HEAT_EXCHANGER_1057
A0034,CDU-HEAT_EXCHANGER-005,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Low,Quality_Impact,CDU-B12,KSB,KSB_HEAT_EXCHANGER_501
A0035,CDU-HEAT_EXCHANGER-006,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Medium,Maintenance_Required,CDU-M83,KSB,KSB_HEAT_EXCHANGER_638
A0036,CDU-HEAT_EXCHANGER-007,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Medium,Quality_Impact,CDU-H23,KSB,KSB_HEAT_EXCHANGER_870
A0037,CDU-HEAT_EXCHANGER-008,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Medium,Maintenance_Required,CDU-O4,KSB,KSB_HEAT_EXCHANGER_880
A0038,CDU-HEAT_EXCHANGER-009,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Medium,Maintenance_Required,CDU-G64,Siemens,Siemens_HEAT_EXCHANGER_115
A0039,CDU-HEAT_EXCHANGER-010,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Low,Maintenance_Required,CDU-C10,Emerson,Emerson_HEAT_EXCHANGER_318
A0040,CDU-HEAT_EXCHANGER-011,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Low,Quality_Impact,CDU-E72,GE,GE_HEAT_EXCHANGER_688
A0041,CDU-HEAT_EXCHANGER-012,HEAT_EXCHANGER,CDU,Heat_Transfer,Medium,Low,Maintenance_Required,CDU-X49,Grundfos,Grundfos_HEAT_EXCHANGER_966
A0042,CDU-REACTOR-001,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Production_Impact,CDU-L53,GE,GE_REACTOR_750
A0043,CDU-REACTOR-002,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Unit_Shutdown,CDU-W83,Sulzer,Sulzer_REACTOR_484
A0044,CDU-REACTOR-003,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Unit_Shutdown,CDU-N83,GE,GE_REACTOR_484
A0045,CDU-REACTOR-004,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Production_Impact,CDU-T29,Emerson,Emerson_REACTOR_314
A0046,CDU-REACTOR-005,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Production_Impact,CDU-E51,Sulzer,Sulzer_REACTOR_113
A0047,CDU-REACTOR-006,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Production_Impact,CDU-M28,Flowserve,Flowserve_REACTOR_332
