tag_id,plant,unit,device_type,ip_address,security_level,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"API-001","Boston Pharma","API Manufacturing","Safety PLC","192.168.132.247","1","3","0","2025-10-11T05:51:29.131Z","true","true","Basic","false","true","29"
"API-002","Boston Pharma","API Manufacturing","MES","192.168.42.102","4","4","4","2025-10-18T05:44:09.273Z","true","true","None","true","true","75"
"API-003","Boston Pharma","API Manufacturing","MES","192.168.119.117","2","1","0","2025-10-16T13:01:54.987Z","false","false","Enterprise","true","true","44"
"API-004","Boston Pharma","API Manufacturing","MES","192.168.229.210","4","9","2","2025-10-08T19:50:29.489Z","false","true","Basic","true","false","71"
"API-005","Boston Pharma","API Manufacturing","MES","192.168.35.221","2","8","1","2025-10-24T03:02:24.338Z","true","true","Advanced","false","false","35"
"API-006","Boston Pharma","API Manufacturing","Temperature Controller","192.168.239.87","4","3","2","2025-09-26T17:06:24.541Z","true","true","Basic","false","true","75"
"API-007","Boston Pharma","API Manufacturing","HMI","192.168.84.94","1","3","1","2025-10-14T10:46:35.749Z","true","true","None","false","true","20"
"API-008","Boston Pharma","API Manufacturing","Batch Controller","192.168.78.27","1","4","2","2025-10-22T21:47:18.701Z","true","true","Advanced","true","true","8"
"API-009","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.187.48","1","2","0","2025-09-25T00:44:22.320Z","false","false","None","true","true","11"
"API-010","Boston Pharma","API Manufacturing","MES","192.168.66.19","4","9","4","2025-10-14T05:49:32.288Z","true","false","Advanced","false","false","77"
"API-011","Boston Pharma","API Manufacturing","MES","192.168.111.124","1","7","4","2025-09-26T12:03:05.380Z","true","false","Enterprise","false","true","14"
"API-012","Boston Pharma","API Manufacturing","MES","192.168.170.220","4","3","2","2025-10-23T19:05:28.357Z","true","true","None","true","true","6"
"API-013","Boston Pharma","API Manufacturing","Safety PLC","192.168.7.95","1","3","4","2025-10-11T22:31:44.394Z","true","true","Basic","false","true","95"
"API-014","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.148.24","4","8","2","2025-10-02T19:25:31.983Z","true","true","Enterprise","true","false","58"
"API-015","Boston Pharma","API Manufacturing","Serialization System","192.168.183.57","4","5","2","2025-10-22T08:00:34.906Z","true","false","None","false","true","38"
"API-016","Boston Pharma","API Manufacturing","LIMS","192.168.136.125","4","0","0","2025-10-24T07:38:30.424Z","true","true","Enterprise","false","false","41"
"API-017","Boston Pharma","API Manufacturing","MES","192.168.113.27","3","0","2","2025-10-17T19:54:59.232Z","true","true","None","true","false","74"
"API-018","Boston Pharma","API Manufacturing","PLC","192.168.131.241","2","2","0","2025-10-16T13:05:51.728Z","false","true","Enterprise","true","true","61"
"API-019","Boston Pharma","API Manufacturing","HMI","192.168.49.10","3","3","1","2025-10-11T05:47:13.191Z","false","true","Basic","true","false","97"
"API-020","Boston Pharma","API Manufacturing","Safety PLC","192.168.109.101","4","6","3","2025-10-10T22:32:36.259Z","false","false","Enterprise","true","false","86"
"API-021","Boston Pharma","API Manufacturing","Temperature Controller","192.168.17.100","4","2","2","2025-10-13T14:26:57.244Z","false","true","None","true","false","67"
"API-022","Boston Pharma","API Manufacturing","Temperature Controller","192.168.209.161","2","7","2","2025-10-11T22:42:01.614Z","false","true","Advanced","true","false","24"
"API-023","Boston Pharma","API Manufacturing","HMI","192.168.236.232","4","8","2","2025-09-29T04:44:58.762Z","true","true","Advanced","true","true","16"
"API-024","Boston Pharma","API Manufacturing","Batch Controller","192.168.103.66","2","0","3","2025-10-13T20:25:49.120Z","false","true","Advanced","false","true","53"
"API-025","Boston Pharma","API Manufacturing","HMI","192.168.112.59","4","2","3","2025-10-21T13:19:45.030Z","true","true","Basic","false","true","71"
"API-026","Boston Pharma","API Manufacturing","Temperature Controller","192.168.198.118","4","1","2","2025-09-27T19:41:14.117Z","false","false","Enterprise","false","true","92"
"API-027","Boston Pharma","API Manufacturing","HMI","192.168.200.129","3","1","2","2025-10-14T13:55:33.714Z","true","true","Advanced","false","true","53"
"API-028","Boston Pharma","API Manufacturing","Serialization System","192.168.100.168","2","2","3","2025-10-05T17:22:58.298Z","true","false","Enterprise","true","true","81"
"API-029","Boston Pharma","API Manufacturing","Safety PLC","192.168.12.227","1","3","2","2025-10-17T16:57:14.268Z","true","false","Basic","false","false","25"
"API-030","Boston Pharma","API Manufacturing","Serialization System","192.168.7.190","2","6","3","2025-10-10T08:21:59.678Z","true","true","Basic","false","false","33"
"API-031","Boston Pharma","API Manufacturing","SCADA","192.168.11.83","4","8","4","2025-10-13T22:27:36.610Z","true","true","None","true","true","12"
