tag_id,discovered_ip,mac_address,hostname,device_type,vendor,model,firmware_version,protocol,network_segment,first_seen,last_seen,discovery_method,confidence,open_ports,vulnerabilities,cve_ids,os_family,is_managed,last_patch_date,risk_score
,10.10.10.1,9e:22:cc:1e:8a:aa,,RTU,Unknown,,5.4.10,Ethernet/IP,VLAN-100,2025-10-10T16:02:43.174Z,2026-01-03T15:17:46.511Z,Protocol Analysis,79,502,0,CVE-2022-37569,Windows Embedded,false,2025-11-08,92
BTR-CDU-0002,10.10.10.2,56:cc:2c:d2:b6:f8,BTR-CDU-safety-plc,Safety PLC,Triconex,TRI-SafetyPLC-6230,3.3.46,Modbus TCP,VLAN-100,2025-11-23T13:56:09.686Z,2026-01-03T18:24:39.963Z,Passive Monitoring,84,"502,102,44818,2222,20000",2,CVE-2020-30940;CVE-2024-4821,VxWorks,false,2025-11-09,88
BTR-CDU-0005,10.10.10.5,74:6f:bb:90:e2:ee,,Flame Detector,Unknown,,1.7.26,Modbus,VLAN-100,2025-12-20T16:50:37.488Z,2026-01-03T06:40:51.911Z,Network Scan,77,"80,443,22",1,CVE-2022-31478,,false,2025-01-20,73
BTR-CDU-0007,10.10.10.7,fa:31:80:58:63:ad,,Control Valve,Honeywell,,1.4.15,Modbus,VLAN-100,2025-11-20T07:07:54.313Z,2026-01-02T21:19:46.091Z,SNMP,95,"80,443,22,161,502",5,CVE-2023-34114;CVE-2020-3145,,true,2025-12-25,84
BTR-CDU-0009,10.10.10.9,84:57:db:48:57:6a,BTR-CDU-pressure-transmitter,Pressure Transmitter,Rockwell,ROC-PressureTransmitter-2075,2.7.83,HART,VLAN-100,2025-07-29T10:42:54.329Z,2026-01-05T19:57:13.804Z,Network Scan,95,"80,443,22",6,,,true,2025-12-17,73
BTR-CDU-0010,10.10.10.10,ef:80:ca:86:8e:17,BTR-CDU-control-valve,Control Valve,Triconex,TRI-ControlValve-5603,5.3.87,Foundation Fieldbus,VLAN-100,2025-07-28T00:29:09.312Z,2026-01-04T04:32:11.876Z,Active Probe,96,80,6,,,true,2025-02-18,70
BTR-CDU-0012,10.10.10.12,25:51:32:b4:96:56,,VFD,Unknown,,5.2.93,HART,VLAN-100,2025-09-13T06:32:14.282Z,2026-01-01T15:39:55.864Z,Passive Monitoring,93,"80,443,22",3,CVE-2023-48777;CVE-2024-31542,,true,2025-02-12,84
BTR-CDU-0013,10.10.10.13,90:81:ae:1d:ff:a7,BTR-CDU-plc,PLC,Emerson,,2.2.97,OPC UA,VLAN-100,2025-12-13T02:38:26.968Z,2026-01-05T11:11:26.676Z,SNMP,74,"502,102",2,,QNX,true,2025-09-16,90
BTR-CDU-0014,10.10.10.14,4a:2e:d7:3f:33:04,BTR-CDU-flow-transmitter,Flow Transmitter,Honeywell,HON-FlowTransmitter-1584,3.3.53,Modbus,VLAN-100,2025-10-25T12:05:13.241Z,2026-01-06T08:48:51.231Z,Protocol Analysis,87,"80,443,22,161",1,CVE-2021-32447,,true,2025-05-02,79
BTR-CDU-0016,10.10.10.16,94:4c:f7:d6:11:0c,BTR-CDU-gas-detector,Gas Detector,Honeywell,HON-GasDetector-7500,2.4.22,Modbus,VLAN-100,2025-09-20T12:26:08.538Z,2026-01-02T13:17:02.121Z,Passive Monitoring,98,80,4,,,true,2025-10-18,64
