ip_address,hostname,mac_address,device_type,manufacturer,model,is_managed,has_security_patches,encryption_enabled,authentication_required,firewall_protected,access_control,vulnerabilities,cve_count,last_seen,confidence_level,firmware_version,protocol
192.168.112.120,VFD-1857,36:28:2D:3D:43:2F,VFD,Emerson,VFD-308,true,true,false,true,false,Basic,0,0,2025-11-08,90,v21.11,BACnet
192.168.34.201,DEVICE-192-168-34-201,41:50:60:3F:4D:3F,Safety_Controller,Siemens,Safety_Controller-965,false,false,false,true,false,None,6,0,2025-11-09,78,v14.3,Modbus TCP
192.168.158.87,,3B:3D:17:37:60:E,Safety_Controller,Generic,Unknown,true,true,false,true,true,Role-Based,1,0,2025-11-09,94,v21.11,BACnet
192.168.60.70,Gate-4980,B:2C:C:21:2B:4C,Gateway,Schneider,Gateway-950,true,true,true,false,false,Basic,0,0,2025-11-05,68,v2.8.3,HART-IP
192.168.49.64,Smar-5773,48:26:5B:24:33:4D,Smart_Transmitter,Schneider,Smart_Transmitter-447,true,true,false,false,true,Basic,0,0,2025-11-03,99,v5.0,Unknown
192.168.169.220,DEVICE-192-168-169-220,30:53:2D:22:47:47,Analyzer,Siemens,Analyzer-869,true,true,false,false,true,Basic,2,0,2025-11-08,97,R4.03,HART-IP
192.168.151.143,,18:D:40:36:3E:2B,Safety_Controller,Schneider,Safety_Controller-564,true,false,false,false,true,Role-Based,0,0,2025-11-06,68,Unknown,HART-IP
192.168.88.14,,1D:2C:23:F:58:5F,Protocol_Converter,Schneider,Protocol_Converter-294,false,false,false,true,true,None,12,2,2025-11-10,96,v3.1.0,BACnet
192.168.227.183,,13:55:16:55:31:61,Safety_Controller,Yokogawa,Safety_Controller-400,false,false,false,false,true,None,2,1,2025-11-05,83,R4.03,HART-IP
192.168.249.143,Safe-5702,29:56:4D:56:34:26,Safety_Controller,Yokogawa,Safety_Controller-526,false,false,false,false,false,None,3,0,2025-11-04,90,v21.11,BACnet
192.168.73.73,VFD-4991,2B:42:41:4B:A:19,VFD,Siemens,VFD-233,false,false,false,false,true,None,4,1,2025-11-06,92,v5.0,Modbus TCP
192.168.13.84,,1F:5C:26:C:21:F,Switch,ABB,Switch-485,true,true,false,false,false,Basic,2,0,2025-11-04,93,v1.2.3,HART-IP
192.168.68.230,,60:13:46:4F:5D:3D,Analyzer,Siemens,Analyzer-223,true,true,false,true,false,Role-Based,1,0,2025-11-04,71,v21.11,HART-IP
192.168.187.148,Anal-4893,19:5F:4D:44:53:25,Analyzer,Siemens,Analyzer-255,true,true,false,true,true,Basic,0,0,2025-11-03,81,v20.19,HART-IP
192.168.152.28,DEVICE-192-168-152-28,1D:33:1E:29:46:56,VFD,Siemens,VFD-662,true,true,false,false,true,Role-Based,3,0,2025-11-08,86,v2.8.1,BACnet
192.168.177.71,Swit-6459,15:61:63:53:32:3A,Switch,Unknown,Unknown,true,true,false,false,true,Basic,3,0,2025-11-03,97,v4.5.2,Modbus TCP
192.168.93.172,DEVICE-192-168-93-172,27:5F:5E:4F:61:51,VFD,Yokogawa,VFD-836,false,false,false,false,false,None,2,0,2025-11-05,89,R4.03,Unknown
192.168.29.119,Anal-7167,51:5E:4C:57:1B:50,Analyzer,Siemens,Analyzer-853,false,false,false,false,false,None,12,2,2025-11-04,78,v5.0,BACnet
192.168.244.212,Swit-6909,59:11:43:50:55:54,Switch,Rosemount,Switch-532,true,true,false,false,true,Role-Based,1,0,2025-11-05,89,R4.03,HART-IP
192.168.27.48,Gate-7602,39:4D:2B:1D:58:62,Gateway,Emerson,Gateway-670,true,false,false,false,false,Role-Based,3,0,2025-11-04,79,v3.1.0,Unknown
192.168.226.123,Smar-7254,11:46:15:33:4B:44,Smart_Transmitter,Emerson,Smart_Transmitter-231,true,true,false,false,true,Role-Based,2,0,2025-11-03,64,v2.8.1,Modbus TCP
192.168.203.148,DEVICE-192-168-203-148,1C:2D:5D:13:30:57,Protocol_Converter,Emerson,Protocol_Converter-319,true,true,false,false,false,Role-Based,0,0,2025-11-05,69,v2.8.3,Unknown
192.168.147.72,Gate-6594,46:24:41:1E:2C:38,Gateway,Endress+Hauser,Gateway-924,true,true,true,false,false,Basic,0,0,2025-11-09,89,R4.03,BACnet
192.168.162.196,Swit-7377,46:16:62:2F:3A:F,Switch,Rosemount,Switch-851,false,false,false,false,false,None,2,1,2025-11-06,94,v16.0,HART-IP
192.168.46.61,DEVICE-192-168-46-61,43:F:44:57:57:2B,Safety_Controller,Siemens,Safety_Controller-654,true,true,false,false,true,Basic,2,0,2025-11-05,98,v14.3,Unknown
192.168.149.25,DEVICE-192-168-149-25,58:38:29:44:18:35,Switch,Yokogawa,Switch-129,true,false,false,true,true,Basic,1,0,2025-11-08,91,v4.5.2,BACnet
192.168.118.231,Smar-7511,C:56:20:5A:55:61,Smart_Transmitter,Generic,Unknown,true,true,false,false,true,Role-Based,3,1,2025-11-04,63,v20.19,HART-IP
192.168.240.222,Smar-6623,54:24:52:1F:33:52,Smart_Transmitter,ABB,Smart_Transmitter-914,true,true,true,true,true,Basic,3,0,2025-11-03,80,v14.3,HART-IP
192.168.16.241,Swit-6694,17:30:18:23:59:2B,Switch,Generic,Unknown,false,false,false,true,true,None,9,3,2025-11-06,76,v14.3,Unknown
192.168.65.23,DEVICE-192-168-65-23,23:36:1D:F:1F:44,Switch,Endress+Hauser,Switch-313,true,true,false,false,true,Role-Based,3,1,2025-11-05,69,v20.19,Modbus TCP
192.168.211.192,Safe-7240,3E:19:3A:49:4D:53,Safety_Controller,Rosemount,Safety_Controller-834,false,false,false,false,true,None,11,4,2025-11-06,96,v16.0,Unknown
192.168.144.200,Safe-7113,4C:13:37:58:22:10,Safety_Controller,ABB,Safety_Controller-487,true,true,false,false,true,Basic,0,0,2025-11-08,99,v3.1.0,HART-IP
192.168.248.118,Safe-7046,33:4B:35:2D:29:1F,Safety_Controller,Endress+Hauser,Safety_Controller-365,true,true,true,false,true,Basic,0,0,2025-11-04,61,v14.3,BACnet
192.168.208.137,DEVICE-192-168-208-137,53:D:11:52:43:57,Smart_Transmitter,Siemens,Smart_Transmitter-311,true,true,false,false,false,Role-Based,2,0,2025-11-05,67,v2.8.1,Unknown
192.168.178.73,Safe-7026,3D:5F:56:4F:54:1E,Safety_Controller,Emerson,Safety_Controller-682,true,true,false,false,false,Role-Based,3,1,2025-11-09,92,R4.03,BACnet
192.168.220.105,DEVICE-192-168-220-105,40:15:44:30:47:60,IP_Camera,Emerson,IP_Camera-850,false,false,false,true,false,None,10,0,2025-11-10,95,v21.11,HART-IP
192.168.63.54,Anal-5343,1D:1B:5B:21:38:3E,Analyzer,Schneider,Analyzer-728,true,false,false,true,true,Role-Based,2,1,2025-11-07,78,v2.8.1,Unknown
192.168.213.22,Anal-4878,28:41:32:4F:53:14,Analyzer,Emerson,Analyzer-990,true,true,false,false,true,Role-Based,1,0,2025-11-06,75,R511.5,Modbus TCP
192.168.46.29,Anal-6915,18:40:54:4C:49:23,Analyzer,Emerson,Analyzer-813,false,false,false,false,true,None,4,1,2025-11-06,64,v4.5.2,HART-IP
192.168.106.96,Anal-7518,3A:3B:39:29:B:32,Analyzer,Yokogawa,Analyzer-238,true,false,false,false,false,Basic,1,0,2025-11-04,94,v1.2.3,BACnet
192.168.148.188,DEVICE-192-168-148-188,3F:23:15:57:10:50,Protocol_Converter,Rosemount,Protocol_Converter-256,true,true,false,true,false,Role-Based,3,1,2025-11-06,76,R4.03,Modbus TCP
192.168.202.81,Prot-5722,1A:44:2A:24:24:49,Protocol_Converter,Endress+Hauser,Protocol_Converter-917,true,true,false,true,true,Role-Based,0,0,2025-11-04,67,v21.11,Modbus TCP
192.168.246.247,DEVICE-192-168-246-247,19:49:17:23:10:56,Switch,Emerson,Switch-881,true,true,false,false,false,Role-Based,0,0,2025-11-08,71,R4.03,BACnet
192.168.202.18,IP_C-4927,48:3E:32:22:44:3F,IP_Camera,Endress+Hauser,IP_Camera-602,false,false,false,false,true,None,3,1,2025-11-07,74,v21.11,Modbus TCP
192.168.109.244,DEVICE-192-168-109-244,4E:59:31:41:30:4A,Analyzer,ABB,Analyzer-333,true,true,false,false,true,Basic,1,0,2025-11-04,74,R511.5,HART-IP
192.168.80.132,,33:38:4E:29:2F:54,Gateway,Emerson,Gateway-300,false,false,true,false,true,None,5,2,2025-11-07,74,v20.19,Modbus TCP
192.168.84.56,Anal-8562,29:4B:43:1F:32:26,Analyzer,ABB,Analyzer-360,false,false,false,false,true,None,9,0,2025-11-04,65,v2.8.3,Modbus TCP
192.168.65.95,Swit-8491,D:32:4C:1C:35:24,Switch,ABB,Switch-308,true,true,false,false,false,Basic,0,0,2025-11-06,79,v16.0,HART-IP
192.168.48.192,Safe-7530,34:20:26:3F:54:41,Safety_Controller,Yokogawa,Safety_Controller-423,true,true,false,false,true,Basic,0,0,2025-11-03,78,v5.0,Modbus TCP
192.168.150.168,,30:28:44:41:2C:1E,Analyzer,Generic,Unknown,true,true,false,false,true,Role-Based,3,0,2025-11-09,98,Unknown,HART-IP
192.168.132.68,Safe-5774,36:A:3F:2E:1A:2F,Safety_Controller,Generic,Unknown,true,true,false,false,false,Role-Based,3,0,2025-11-05,98,v2.8.3,Unknown
192.168.118.113,Safe-6557,45:33:49:53:54:5B,Safety_Controller,Unknown,Unknown,true,true,false,false,false,Basic,1,0,2025-11-03,78,v5.0,BACnet
192.168.58.13,Anal-5494,A:1D:47:5B:22:30,Analyzer,Siemens,Analyzer-240,false,false,false,false,true,None,7,3,2025-11-09,78,v16.0,BACnet
192.168.94.131,DEVICE-192-168-94-131,14:E:23:61:60:2B,VFD,Siemens,VFD-379,true,true,false,false,true,Role-Based,1,0,2025-11-03,66,v1.2.3,Unknown
192.168.242.103,DEVICE-192-168-242-103,19:3F:11:4A:2D:1B,Protocol_Converter,Yokogawa,Protocol_Converter-170,false,false,false,false,true,None,10,1,2025-11-06,74,v21.11,HART-IP
192.168.38.180,,1A:2B:A:3E:5B:2F,Safety_Controller,Endress+Hauser,Safety_Controller-447,true,true,true,true,true,Basic,1,0,2025-11-06,73,v2.8.1,Unknown
192.168.180.133,,62:39:55:47:37:4A,IP_Camera,Rosemount,IP_Camera-634,true,true,true,true,true,Basic,2,1,2025-11-04,88,Unknown,Modbus TCP
192.168.59.19,IP_C-6025,3E:29:61:32:62:F,IP_Camera,Schneider,IP_Camera-456,false,false,false,false,true,None,6,3,2025-11-10,84,v5.0,BACnet
192.168.160.71,Swit-7092,4E:56:14:47:34:52,Switch,ABB,Switch-363,true,true,false,false,false,Basic,0,0,2025-11-03,99,v16.0,Unknown
192.168.124.106,Gate-7180,16:30:17:43:60:21,Gateway,Unknown,Unknown,true,true,false,true,true,Basic,1,0,2025-11-03,79,v16.0,Unknown
192.168.141.96,IP_C-7083,21:40:E:51:57:3C,IP_Camera,Endress+Hauser,IP_Camera-805,true,true,false,false,true,Role-Based,1,0,2025-11-07,84,v20.19,HART-IP
192.168.101.174,,10:D:28:11:34:59,Switch,Siemens,Switch-919,true,true,false,false,false,Basic,2,0,2025-11-10,80,R511.5,Unknown
192.168.155.39,DEVICE-192-168-155-39,34:33:1B:45:2E:50,Protocol_Converter,Schneider,Protocol_Converter-848,true,true,false,false,true,Basic,3,0,2025-11-03,87,v5.0,BACnet
192.168.126.130,,25:50:61:38:57:5D,Analyzer,ABB,Analyzer-270,true,true,false,true,false,Role-Based,2,1,2025-11-04,90,v1.2.3,Unknown
192.168.120.243,VFD-6622,3E:21:1C:4E:1A:37,VFD,Schneider,VFD-696,true,false,false,true,true,Basic,2,1,2025-11-04,65,v2.8.1,Unknown
192.168.108.54,DEVICE-192-168-108-54,41:17:19:D:4C:5A,Switch,Yokogawa,Switch-582,true,true,false,true,false,Basic,3,1,2025-11-06,87,R4.03,BACnet
192.168.173.180,DEVICE-192-168-173-180,38:3B:55:34:1A:19,VFD,Endress+Hauser,VFD-911,false,false,false,true,false,None,6,0,2025-11-06,79,v21.11,Modbus TCP
192.168.240.158,Smar-6011,57:5A:2A:13:52:57,Smart_Transmitter,Unknown,Unknown,true,true,true,false,true,Role-Based,3,1,2025-11-05,94,v1.2.3,Modbus TCP
192.168.144.161,DEVICE-192-168-144-161,24:17:3F:52:19:2D,Protocol_Converter,Schneider,Protocol_Converter-848,true,true,false,false,true,Basic,1,0,2025-11-08,89,v20.19,Unknown
192.168.131.149,Smar-8527,3F:1A:5A:2D:5D:2E,Smart_Transmitter,Yokogawa,Smart_Transmitter-955,true,true,false,false,false,Role-Based,3,1,2025-11-09,89,v21.11,BACnet
192.168.47.202,Safe-8492,19:5A:11:D:29:29,Safety_Controller,Yokogawa,Safety_Controller-168,true,true,false,true,true,Basic,1,0,2025-11-10,99,v16.0,BACnet
192.168.143.212,Safe-5682,D:B:52:13:16:4A,Safety_Controller,Endress+Hauser,Safety_Controller-484,true,true,false,false,true,Basic,2,1,2025-11-08,71,v1.2.3,BACnet
192.168.104.63,,35:39:13:11:21:1B,VFD,Siemens,VFD-804,true,true,false,true,true,Role-Based,0,0,2025-11-04,90,Unknown,HART-IP
192.168.22.122,DEVICE-192-168-22-122,4C:5E:A:33:11:12,IP_Camera,Emerson,IP_Camera-272,true,true,false,false,true,Role-Based,1,0,2025-11-07,63,Unknown,Unknown
192.168.59.167,DEVICE-192-168-59-167,44:54:36:1C:13:49,Analyzer,Emerson,Analyzer-101,true,true,false,true,false,Basic,0,0,2025-11-10,75,R511.5,HART-IP
192.168.161.208,Swit-5725,60:2C:49:56:1C:14,Switch,Schneider,Switch-215,true,true,false,false,true,Role-Based,3,1,2025-11-07,67,v21.11,HART-IP
192.168.145.15,DEVICE-192-168-145-15,15:2B:5C:51:5E:39,Switch,Rosemount,Switch-288,true,true,false,false,true,Role-Based,2,0,2025-11-03,83,v2.8.1,Modbus TCP
192.168.70.150,DEVICE-192-168-70-150,A:4C:40:41:51:55,Safety_Controller,Schneider,Safety_Controller-816,true,true,false,true,false,Role-Based,0,0,2025-11-08,91,R4.03,Modbus TCP
192.168.237.63,VFD-8516,44:34:42:61:25:5E,VFD,Rosemount,VFD-223,true,true,false,false,false,Basic,3,1,2025-11-10,75,R511.5,HART-IP
192.168.214.34,VFD-5518,1F:3A:42:30:1C:44,VFD,ABB,VFD-855,true,true,false,false,true,Basic,3,0,2025-11-09,93,v2.8.1,Unknown
192.168.135.57,Prot-6524,17:56:60:17:18:27,Protocol_Converter,Unknown,Unknown,true,true,false,true,false,Basic,0,0,2025-11-09,83,Unknown,BACnet
192.168.161.195,Smar-4606,1A:3A:61:51:2B:55,Smart_Transmitter,Schneider,Smart_Transmitter-369,true,true,false,true,false,Basic,3,0,2025-11-06,77,Unknown,Unknown
192.168.221.94,,2D:49:33:60:3A:56,Safety_Controller,Emerson,Safety_Controller-541,true,true,false,true,false,Basic,2,0,2025-11-04,95,v2.8.1,HART-IP
192.168.214.142,Smar-2456,1A:E:E:41:4B:5C,Smart_Transmitter,Emerson,Smart_Transmitter-575,true,true,false,false,true,Role-Based,2,0,2025-11-07,99,v3.1.0,HART-IP
192.168.129.91,DEVICE-192-168-129-91,53:60:1C:31:10:60,VFD,Emerson,VFD-976,true,true,false,false,true,Role-Based,1,0,2025-11-05,95,R4.03,BACnet
192.168.221.227,DEVICE-192-168-221-227,15:14:48:30:14:2C,Smart_Transmitter,Schneider,Smart_Transmitter-317,true,true,false,false,true,Role-Based,0,0,2025-11-06,77,v5.0,HART-IP
192.168.63.82,Safe-3827,56:2A:35:23:2A:20,Safety_Controller,Siemens,Safety_Controller-748,true,true,false,false,true,Role-Based,3,0,2025-11-08,70,Unknown,BACnet
192.168.100.218,Swit-8531,3C:4A:37:F:40:54,Switch,Emerson,Switch-582,true,true,false,false,false,Role-Based,1,0,2025-11-05,98,v2.8.1,Unknown
192.168.210.95,Swit-2984,5A:2F:27:2B:4F:55,Switch,Siemens,Switch-940,true,true,true,false,true,Role-Based,1,0,2025-11-04,93,v3.1.0,Unknown
192.168.12.91,DEVICE-192-168-12-91,18:53:26:47:3D:40,Safety_Controller,Yokogawa,Safety_Controller-819,true,true,false,true,true,Basic,2,0,2025-11-07,76,v2.8.3,Unknown
192.168.48.84,DEVICE-192-168-48-84,25:35:3C:60:52:3E,VFD,Emerson,VFD-990,true,true,false,false,true,Role-Based,3,1,2025-11-06,77,v20.19,BACnet
192.168.57.162,DEVICE-192-168-57-162,31:5A:31:34:27:28,Switch,ABB,Switch-874,true,true,false,false,true,Role-Based,0,0,2025-11-05,69,v4.5.2,Unknown
192.168.245.122,DEVICE-192-168-245-122,15:55:A:2C:42:50,Protocol_Converter,Endress+Hauser,Protocol_Converter-565,true,true,false,false,false,Basic,2,0,2025-11-03,94,v2.8.1,Unknown
192.168.182.188,VFD-2192,29:21:50:5E:31:22,VFD,Rosemount,VFD-668,true,true,false,true,true,Role-Based,3,1,2025-11-07,82,v2.8.1,Unknown
192.168.131.216,DEVICE-192-168-131-216,39:3B:5C:24:48:17,Smart_Transmitter,Rosemount,Smart_Transmitter-232,true,true,false,false,true,Role-Based,3,1,2025-11-07,63,v16.0,HART-IP
192.168.125.159,Smar-4539,31:42:E:1D:4C:27,Smart_Transmitter,Emerson,Smart_Transmitter-853,true,true,false,false,true,Role-Based,1,0,2025-11-10,86,R4.03,Unknown
192.168.97.226,,57:25:28:38:57:32,Gateway,Schneider,Gateway-280,true,true,false,false,true,Basic,1,0,2025-11-05,74,v16.0,HART-IP
192.168.171.14,DEVICE-192-168-171-14,3B:61:29:25:C:2B,Switch,Yokogawa,Switch-195,false,false,false,false,false,None,4,2,2025-11-05,85,v2.8.3,BACnet
192.168.39.200,DEVICE-192-168-39-200,4F:37:33:3C:54:41,Switch,Schneider,Switch-923,true,true,false,false,true,Role-Based,3,1,2025-11-08,68,R511.5,Unknown
192.168.112.119,DEVICE-192-168-112-119,59:20:62:34:49:1A,IP_Camera,Rosemount,IP_Camera-687,true,true,true,false,true,Role-Based,2,0,2025-11-09,80,v2.8.3,HART-IP
192.168.76.64,Safe-4660,13:D:5F:41:5A:C,Safety_Controller,Emerson,Safety_Controller-760,true,true,false,true,true,Role-Based,3,1,2025-11-10,95,R511.5,HART-IP
192.168.155.146,,31:1C:52:46:27:14,Safety_Controller,Schneider,Safety_Controller-881,true,true,false,true,true,Role-Based,1,0,2025-11-10,69,v2.8.3,HART-IP
192.168.134.121,,16:21:31:4A:51:B,Switch,Unknown,Unknown,true,true,false,true,false,Basic,0,0,2025-11-09,75,v21.11,BACnet
192.168.47.61,Gate-4859,45:5D:56:55:1A:62,Gateway,Endress+Hauser,Gateway-483,true,true,false,false,true,Role-Based,3,0,2025-11-07,66,R4.03,HART-IP
192.168.70.89,DEVICE-192-168-70-89,57:B:20:48:26:4E,IP_Camera,Endress+Hauser,IP_Camera-770,true,true,false,false,false,Role-Based,0,0,2025-11-10,78,v2.8.3,Unknown
192.168.119.90,VFD-8587,F:45:17:C:21:40,VFD,Generic,Unknown,true,true,false,true,true,Basic,3,1,2025-11-08,76,v20.19,Modbus TCP
192.168.33.52,IP_C-6725,31:40:2A:22:17:11,IP_Camera,Schneider,IP_Camera-262,true,true,false,false,false,Role-Based,2,1,2025-11-07,93,v4.5.2,BACnet
192.168.180.68,DEVICE-192-168-180-68,25:56:16:31:60:57,Smart_Transmitter,Endress+Hauser,Smart_Transmitter-134,true,true,false,true,true,Basic,3,1,2025-11-09,88,v3.1.0,Unknown
192.168.107.76,Swit-4079,1E:19:51:4C:4F:A,Switch,Emerson,Switch-338,true,true,false,false,true,Role-Based,3,1,2025-11-07,65,v5.0,Modbus TCP
192.168.228.170,Smar-3076,55:20:27:1E:24:1D,Smart_Transmitter,Generic,Unknown,true,true,true,false,true,Role-Based,1,0,2025-11-04,74,v2.8.1,Unknown
192.168.49.221,VFD-2610,1E:37:5D:1D:13:15,VFD,Schneider,VFD-659,true,true,false,false,true,Basic,2,0,2025-11-06,61,v20.19,Modbus TCP
192.168.60.118,DEVICE-192-168-60-118,2F:24:25:5C:4E:26,Safety_Controller,Emerson,Safety_Controller-809,true,true,false,false,true,Basic,0,0,2025-11-08,82,v3.1.0,HART-IP
192.168.137.158,DEVICE-192-168-137-158,19:20:38:2E:C:C,Analyzer,Siemens,Analyzer-131,true,true,false,true,true,Role-Based,0,0,2025-11-08,90,v21.11,Unknown
192.168.22.97,,5C:22:16:29:57:4D,Protocol_Converter,Yokogawa,Protocol_Converter-855,true,true,false,false,true,Basic,3,1,2025-11-06,86,v5.0,Unknown
192.168.50.58,DEVICE-192-168-50-58,11:2E:61:3E:5A:45,Safety_Controller,Siemens,Safety_Controller-314,true,true,false,false,true,Role-Based,2,0,2025-11-07,61,v5.0,BACnet
