tag_id,plant,unit,device_type,ip_address,mac_address,protocol,vendor,model,firmware_version,last_seen,discovery_method,confidence_level,network_segment,criticality,is_managed,has_security_patches
"CRU-001","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.153.67","6e:c0:b0:dc:98:b1","Profinet","ABB","RTU-4763","1.3.16","2025-10-20T09:57:40.423Z","Asset Inventory","90","VLAN-19","Low","false","true"
"CRU-002","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.108.34","b0:3a:a4:f2:15:db","DNP3","Honeywell","PressureTransmitter-9727","1.8.87","2025-10-20T02:09:52.851Z","Network Scan","77","VLAN-44","Low","true","true"
"CRU-003","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.55.31","11:97:99:92:1d:20","Ethernet/IP","Siemens","ControlValve-1631","2.2.35","2025-10-18T21:00:58.498Z","SNMP","79","VLAN-22","Medium","true","true"
"CRU-004","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.86.223","6e:0c:14:94:76:1d","Modbus TCP","Emerson","PLC-4104","4.0.90","2025-10-20T19:24:55.511Z","Asset Inventory","98","VLAN-78","High","true","false"
"CRU-005","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.124.35","54:3e:ce:45:92:46","Profinet","Rockwell","RTU-3574","2.5.27","2025-10-23T10:41:35.622Z","Protocol Analysis","96","VLAN-20","Critical","true","false"
"CRU-006","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.141.16","78:86:0f:36:99:b9","Profinet","ABB","FlowTransmitter-8878","5.3.59","2025-10-19T11:40:20.701Z","Protocol Analysis","84","VLAN-95","Low","true","false"
"CRU-007","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Safety PLC","192.168.26.126","f6:6f:5d:5d:18:ed","DNP3","Siemens","SafetyPLC-9359","1.0.24","2025-10-21T22:23:50.044Z","Network Scan","92","VLAN-24","Medium","true","true"
"CRU-008","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.195.88","68:b5:13:b0:89:35","Modbus TCP","Emerson","PLC-3814","3.5.57","2025-10-19T03:39:59.636Z","Protocol Analysis","78","VLAN-90","High","true","false"
"CRU-009","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Motor Starter","192.168.217.157","6b:00:15:7c:a3:44","DNP3","Siemens","MotorStarter-4260","1.7.82","2025-10-22T21:21:44.785Z","SNMP","99","VLAN-97","Low","true","false"
"CRU-010","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.69.86","20:88:49:5d:bd:d6","Ethernet/IP","Schneider","PressureTransmitter-4558","3.1.53","2025-10-21T18:56:16.492Z","Network Scan","73","VLAN-31","Critical","true","true"
"CRU-011","Gulf Coast Refinery","Crude Distillation Unit (CDU)","DCS","192.168.234.122","f7:bd:39:72:5b:68","OPC UA","Schneider","DCS-4710","2.0.92","2025-10-23T00:33:14.901Z","SNMP","70","VLAN-45","Medium","false","false"
"CRU-012","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.72.157","c6:dc:69:c7:1f:0d","Ethernet/IP","Schneider","RTU-8891","3.9.51","2025-10-22T10:58:53.126Z","SNMP","90","VLAN-21","High","false","true"
"CRU-013","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.247.59","3b:b1:b8:d1:94:cb","Modbus TCP","Schneider","TemperatureTransmitter-6604","2.8.56","2025-10-20T21:26:58.734Z","Asset Inventory","99","VLAN-61","High","true","true"
"CRU-014","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.55.142","23:09:fc:ac:7b:3f","OPC UA","Schneider","FlowTransmitter-9880","3.9.27","2025-10-20T07:47:45.347Z","Protocol Analysis","79","VLAN-58","Medium","true","true"
"CRU-015","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.159.92","7a:4c:ea:08:d5:84","Modbus TCP","Schneider","ControlValve-7314","5.0.33","2025-10-23T21:49:55.147Z","Protocol Analysis","86","VLAN-13","Medium","true","true"
"CRU-016","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Flow Transmitter","192.168.112.58","8a:b7:11:54:62:27","Ethernet/IP","Schneider","FlowTransmitter-4970","4.4.46","2025-10-23T17:03:00.658Z","SNMP","84","VLAN-4","Critical","true","true"
"CRU-017","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.175.53","13:c4:a6:e2:63:ca","DNP3","Emerson","TemperatureTransmitter-1204","2.8.5","2025-10-24T07:08:54.701Z","Network Scan","96","VLAN-62","High","true","false"
"CRU-018","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.118.180","59:be:dd:e2:84:0b","OPC UA","Rockwell","PressureTransmitter-5321","3.6.20","2025-10-21T11:49:59.944Z","Asset Inventory","69","VLAN-27","Medium","true","false"
"CRU-019","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Control Valve","192.168.124.70","58:de:67:ca:07:67","Modbus TCP","Siemens","ControlValve-9406","1.2.22","2025-10-24T03:17:53.389Z","Network Scan","74","VLAN-39","High","true","true"
"CRU-020","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Pressure Transmitter","192.168.42.7","54:80:35:c5:3b:2f","Modbus TCP","Siemens","PressureTransmitter-2957","1.3.66","2025-10-22T17:37:08.099Z","SNMP","96","VLAN-21","Critical","true","true"
"CRU-021","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Motor Starter","192.168.38.134","b1:ad:a3:d8:e8:16","DNP3","Rockwell","MotorStarter-1752","2.2.30","2025-10-23T14:48:46.043Z","Asset Inventory","90","VLAN-7","Critical","true","true"
"CRU-022","Gulf Coast Refinery","Crude Distillation Unit (CDU)","RTU","192.168.144.216","e1:b6:8e:ff:fc:cd","Modbus TCP","Schneider","RTU-8800","2.2.99","2025-10-20T19:05:44.408Z","Protocol Analysis","76","VLAN-10","Medium","true","false"
"CRU-023","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.161.93","33:c0:de:26:54:2e","Modbus TCP","ABB","TemperatureTransmitter-7844","3.8.66","2025-10-19T04:57:15.979Z","Protocol Analysis","62","VLAN-73","High","true","true"
"CRU-024","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.70.156","3e:44:82:42:3c:b5","Profinet","Emerson","TemperatureTransmitter-8797","2.5.74","2025-10-24T07:13:03.280Z","Network Scan","70","VLAN-77","Critical","false","true"
"CRU-025","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.222.240","45:a0:16:71:fe:41","Ethernet/IP","Siemens","PLC-7817","5.8.29","2025-10-20T06:58:26.804Z","SNMP","98","VLAN-33","Low","true","false"
"CRU-026","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.17.61","64:2c:09:ef:89:da","Profinet","Siemens","TemperatureTransmitter-7877","4.9.49","2025-10-18T13:33:30.025Z","Asset Inventory","95","VLAN-12","Critical","true","true"
"CRU-027","Gulf Coast Refinery","Crude Distillation Unit (CDU)","Temperature Transmitter","192.168.88.11","77:41:1d:78:d3:7a","DNP3","ABB","TemperatureTransmitter-5711","3.4.48","2025-10-20T23:45:37.263Z","Protocol Analysis","62","VLAN-100","Critical","true","false"
"CRU-028","Gulf Coast Refinery","Crude Distillation Unit (CDU)","PLC","192.168.73.91","b3:56:d8:32:e0:78","OPC UA","Siemens","PLC-9532","1.5.47","2025-10-22T02:09:05.193Z","Network Scan","98","VLAN-48","Low","true","true"
"FLU-001","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.87.182","47:da:f6:ff:0c:4a","Modbus TCP","Schneider","ControlValve-9851","3.7.4","2025-10-20T06:53:03.071Z","Asset Inventory","88","VLAN-34","Medium","true","false"
"FLU-002","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Pressure Transmitter","192.168.139.177","c5:09:ef:4c:97:2c","Modbus TCP","Siemens","PressureTransmitter-3584","1.1.53","2025-10-18T01:03:42.244Z","Network Scan","79","VLAN-1","High","true","false"
"FLU-003","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.19.0","03:a8:26:82:f3:88","Profinet","Rockwell","ControlValve-7606","5.3.15","2025-10-17T23:56:33.909Z","SNMP","88","VLAN-3","Medium","true","true"
"FLU-004","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","RTU","192.168.247.119","8f:b3:23:39:93:50","OPC UA","Rockwell","RTU-5262","1.2.25","2025-10-20T23:19:21.714Z","Asset Inventory","74","VLAN-22","High","true","false"
"FLU-005","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Motor Starter","192.168.160.232","21:f4:df:a7:e8:7d","Modbus TCP","Siemens","MotorStarter-8497","5.5.72","2025-10-19T03:14:12.050Z","Asset Inventory","64","VLAN-39","Medium","true","true"
"FLU-006","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","RTU","192.168.228.109","de:13:ab:e3:cc:55","Profinet","ABB","RTU-6606","1.8.23","2025-10-19T14:20:16.833Z","Asset Inventory","87","VLAN-41","High","false","true"
"FLU-007","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.135.163","28:95:ec:e5:23:6d","OPC UA","Emerson","ControlValve-7573","5.1.97","2025-10-19T10:50:03.843Z","Network Scan","94","VLAN-69","Low","false","true"
"FLU-008","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","PLC","192.168.253.222","b7:a9:67:53:4d:bd","DNP3","Rockwell","PLC-3449","3.0.45","2025-10-23T05:05:41.737Z","SNMP","63","VLAN-26","High","false","true"
"FLU-009","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","HMI","192.168.170.39","38:73:46:a2:2b:f2","Ethernet/IP","Siemens","HMI-2625","3.9.59","2025-10-20T08:29:11.729Z","Protocol Analysis","87","VLAN-56","Critical","true","false"
"FLU-010","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.237.167","a6:38:d1:56:d9:ea","Ethernet/IP","Rockwell","ControlValve-3199","1.1.11","2025-10-22T07:45:52.699Z","SNMP","60","VLAN-32","Critical","true","true"
"FLU-011","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.128.216","ad:8a:a8:0e:fa:4a","Modbus TCP","Emerson","ControlValve-2322","3.0.38","2025-10-20T18:47:48.592Z","Protocol Analysis","64","VLAN-22","Medium","true","false"
"FLU-012","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Flow Transmitter","192.168.225.58","65:b8:e0:2e:a7:6b","Modbus TCP","Schneider","FlowTransmitter-6665","4.7.57","2025-10-18T14:29:33.656Z","Asset Inventory","91","VLAN-5","Low","true","false"
"FLU-013","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Control Valve","192.168.175.99","7c:20:22:6c:d1:5f","OPC UA","Emerson","ControlValve-5119","5.4.93","2025-10-20T23:44:37.676Z","SNMP","73","VLAN-20","High","true","false"
"FLU-014","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Flow Transmitter","192.168.211.122","e2:59:08:13:df:23","DNP3","Schneider","FlowTransmitter-8031","1.4.74","2025-10-19T00:32:37.268Z","SNMP","96","VLAN-9","Low","true","false"
"FLU-015","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","PLC","192.168.68.118","cd:41:9c:97:64:24","Ethernet/IP","ABB","PLC-2132","5.8.14","2025-10-21T00:41:25.936Z","Network Scan","72","VLAN-99","Critical","false","true"
"FLU-016","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Temperature Transmitter","192.168.155.110","4d:46:80:24:07:9a","Ethernet/IP","Rockwell","TemperatureTransmitter-8918","1.8.16","2025-10-18T23:17:41.321Z","SNMP","92","VLAN-90","High","true","true"
"FLU-017","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","DCS","192.168.185.55","a0:47:38:64:fb:17","OPC UA","Schneider","DCS-6732","1.8.7","2025-10-19T00:57:12.030Z","SNMP","64","VLAN-84","Low","true","false"
"FLU-018","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","DCS","192.168.48.41","6e:f7:31:d1:25:4a","DNP3","Honeywell","DCS-5800","5.7.85","2025-10-24T09:16:25.130Z","Network Scan","64","VLAN-77","Low","true","false"
"FLU-019","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","RTU","192.168.31.184","30:3e:a6:68:16:0d","Profinet","Schneider","RTU-6121","5.5.97","2025-10-19T14:07:49.068Z","SNMP","75","VLAN-96","Critical","true","true"
"FLU-020","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","PLC","192.168.74.210","f5:9e:c1:fd:b1:61","OPC UA","Honeywell","PLC-7402","2.3.14","2025-10-20T22:12:03.562Z","SNMP","81","VLAN-24","Critical","false","true"
"FLU-021","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","Flow Transmitter","192.168.217.157","69:a6:d1:61:99:e1","Profinet","Honeywell","FlowTransmitter-2896","1.5.35","2025-10-19T12:35:43.631Z","SNMP","67","VLAN-23","High","true","true"
"FLU-022","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","DCS","192.168.128.20","42:65:73:8e:b2:87","Profinet","Schneider","DCS-2636","2.8.59","2025-10-18T02:41:43.389Z","Protocol Analysis","90","VLAN-90","Medium","false","true"
"FLU-023","Gulf Coast Refinery","Fluid Catalytic Cracking (FCC)","DCS","192.168.160.80","04:ac:d2:37:a4:50","Modbus TCP","Siemens","DCS-1881","2.9.98","2025-10-22T21:27:16.365Z","Protocol Analysis","73","VLAN-26","Critical","true","true"
