tag_id,discovered_ip,mac_address,hostname,device_type,vendor,model,firmware_version,protocol,network_segment,first_seen,last_seen,discovery_method,confidence,open_ports,vulnerabilities,cve_ids,os_family,is_managed,last_patch_date,risk_score
TMC-OPS-0001,10.40.1.10,00:11:22:40:01:10,tmc-atms-01,ATMS Server,TransCore,ATMS-EDGE-9000,7.4.1,HTTPS,VLAN-410,2025-09-01T10:00:00Z,2026-01-06T10:00:00Z,Active Probe,96,"443,3389",2,CVE-2024-21410,Windows Server,true,2025-12-20,72
TMC-OPS-0002,10.40.1.11,00:11:22:40:01:11,tmc-historian-01,SCADA Historian,OSIsoft,PI-Server,2023.2,OPC UA,VLAN-410,2025-09-01T10:00:00Z,2026-01-06T10:05:00Z,Passive Monitoring,95,"443,5450",1,,Windows Server,true,2025-12-20,48
TMC-OPS-0003,10.40.2.1,00:11:22:40:02:01,tmc-dmz-fw-01,Firewall,Palo Alto,PA-3220,10.2.8,HTTPS,VLAN-420,2025-09-01T10:00:00Z,2026-01-06T10:10:00Z,SNMP,94,"443,22",1,CVE-2023-6792,PAN-OS,true,2025-12-18,61
TMC-OPS-0004,10.40.2.20,00:11:22:40:02:20,tmc-jump-01,Jump Host,Microsoft,Windows Server,2022,RDP,VLAN-420,2025-09-01T10:00:00Z,2026-01-06T10:12:00Z,Active Probe,92,"3389,443",3,CVE-2024-30078;CVE-2023-36884,Windows Server,false,2025-10-11,88
TMC-FBR-0005,10.40.10.1,00:11:22:40:10:01,tmc-core-rtr-01,Core Router,Cisco,ASR-1001,17.9.4,SNMPv3,VLAN-430,2025-09-01T10:00:00Z,2026-01-06T10:12:00Z,SNMP,93,"22,161,443",0,,IOS-XE,true,2025-11-21,44
TMC-FBR-0006,10.40.10.22,00:11:22:40:10:22,tmc-nms-01,Network Management Server,SolarWinds,NPM,2024.1,HTTPS,VLAN-430,2025-09-01T10:00:00Z,2026-01-06T10:15:00Z,Active Probe,91,"443,17778",2,CVE-2024-28995,Windows Server,true,2025-11-29,76
I96-SIG-0007,10.96.14.10,00:11:22:96:14:10,i96-sig-014,Traffic Signal Controller,Econolite,Cobalt,3.2.7,NTCIP,VLAN-514,2025-08-14T09:00:00Z,2026-01-05T13:14:00Z,Protocol Analysis,90,"161,443",1,,Embedded,true,2025-09-20,53
I96-CAB-0008,10.96.14.2,00:11:22:96:14:02,i96-cab-sw-014,Field Ethernet Switch,Cisco,IE-3300,17.6.5,SNMPv3,VLAN-514,2025-08-14T09:00:00Z,2026-01-05T13:15:00Z,SNMP,94,"22,161,443",1,CVE-2023-20198,IOS-XE,false,2025-08-12,84
I96-CCTV-0009,10.96.45.30,00:11:22:96:45:30,i96-cctv-145,CCTV Camera,Bosch,Autodome IP,7.86,RTSP,VLAN-545,2025-08-14T09:00:00Z,2026-01-05T13:18:00Z,Active Probe,89,"80,443,554",2,CVE-2022-30563,Embedded,false,2025-05-17,79
I96-DMS-0010,10.96.46.40,00:11:22:96:46:40,i96-dms-146,Dynamic Message Sign,Daktronics,Vanguard,5.1.2,NTCIP,VLAN-546,2025-08-14T09:00:00Z,2026-01-05T13:20:00Z,Protocol Analysis,91,"161,443",0,,Embedded,true,2025-10-12,37
